French 	Cognates 	Etymology 	Possible Celtic Cognates 	Latin/Romance
aller 'to go' 	FrProv alâ, allar, Friul lâ 	Gaul *allu 	Welsh êl 'that he may go', eled 'go!', Cornish ellev 'that I may go', Old Irish adall 'diverticulum' 	Lat ambulare (cf. Ital ambiare, Rom umbla), *adnare (cf. Sp/Pg andar, Occ/Cat anar, Italian andare)
alose 'shad' 	Occitan alausa, Prov alauso, La Rochelle alousa, Sp alosa, G Alse 	Gaul alausa 'allis shad' 	none 	-
alouette 'lark' 	Walloon alôye, Prov alauza, alauseta, Cat alosa, alova, OSp aloa, Sp alondra, It allodola, lodola 	Old French aloe, aloue, fr Latin alauda 'crest lark', fr Gaul, perhaps from *alaio 'swan' 	OIr elu 'swan', Irish/Scottish eala 'swan'; with suffix, Welsh alarch 'lark', Breton alarc'h 'swan' 	borrowed into Latin
ambassade 'embassy' 	Prov embeissado, Occ ambaissada, Port embaixada, Sp embajada 	From Ital ambasciata 'charge, mission, embassy', fr Old Occ ambayassada 'embassy', from ambaissa 'service, duty' 'hostage', fr Gaul ambactus 'dependant, vassal' 	OIr amos, amsach 'mercenary, servant', Ir amhas 'wild man', W amaeth 'tenant farm', C ammeth 'farming', OBr ambaith 	-
amélanche 'shadberry, shadbush' 	Occ amalenco, amalanco 	Prov. amalenco, amalanco, from Gaul. aballo 'apple' and -enco, diminutive suffix from Germanic -ing 	OIr aball, Ir/Sc ubhall, W afal, C aval, Br aval 	unknown in Latin
andain 'swath, scythe slash' 	- 	OFr andain 'wide step', from Gallo-Latin andagnis 'big step', from Gaul. ande 'big, great' and agnis 'step', from agi 'to move' 	Ir an- 'very' + OIr áin 'activity, play' 	-
ardoise 'slate' 	- 	Gaul. artuas 'stelae, stone plates', plural of *artuā 'stone, pebble' 	OIr art 'stone', Ir airtín, Sc airtein 'pebble' 	-
arpent 'arpent acre' 	OSp arapende, Sp arpende, Prov arpen 	ML arependis, fr Latin arepennis, from Gaulish 	OIr airchenn 'short mete or bound (abuttal); end, extremity', W arbenn 'chief' 	system of measurement alien to Latin
auvent 'eaves, porch roof, penthouse roof' 	Prov. ambans 'parapet', Occitan embans, French dial. arvan 	MFr auvans (pl) 'sloping roof', fr OFr anvant (1180), fr Gaul. andebanno 'overhang, forward jutting part of a roof', fr ande (augmentative prefix) + banno 'horn, antler' 	for banno, see below under section Patois 	unknown to Mediterranean architecture
aven 'sinkhole, swallow hole' 	Occ avèn 'abyss, whirlpool', Asturian aboñón 'channel, drain', Galician abeneiro, Port. amieiro 'alder (tree)' 	OFr avenc, from Old Occ, from Gaul. abona 'river' 	W afon, C avon, Br avon, aven, Sc abhainn, Ir abha, abhainn 	-
