English name	Japanese name	Transcription	Katakana reading	Picture naming	Cognate status	Japanese (L1) age-of-acquisition	English (L2) familiarity	Concreteness (L1)	No.Trans L1-L2	No.Trans L2-L1	NoM L1	NoM L2	Phonological similarity	Semantic similarity
access	アクセス	akusesu	アクセス	No	C	4.5	4.8	3.4	1	5	1	1	3.0	3.9
acid	酸	san	サン	No	NC	4.8	3.5	4.0	1	3	1	1	1.2	4.5
aid	援助	enjo	エンジョ	No	NC	4.4	3.3	2.9	5	7	1	2	1.4	4.1
arm	腕	ude	ウデ	Yes	NC	4.0	3.6	5.4	1	2	1	2	1.0	4.2
arrow	矢印	yajirushi	ヤジルシ	Yes	NC	3.4	3.4	4.4	4	1	2	1	1.0	3.3
ashtray	灰皿	haizara	ハイザラ	Yes	NC	4.2	2.0	5.4	1	2	2	1	1.1	4.1
balloon	風船	fuusen	フウセン	Yes	NC	3.6	3.3	5.6	1	2	1	2	1.0	4.7
banana	バナナ	banana	バナナ	Yes	C	3.3	4.0	5.7	1	1	1	1	3.4	4.9
bed	ベッド	beddo	ベッド	Yes	C	3.9	4.8	5.7	1	1	1	1	3.7	4.7
bench	ベンチ	benchi	ベンチ	Yes	C	3.7	4.1	5.6	1	2	1	1	4.2	4.1
bicycle	自転車	jitensha	ジテンシャ	Yes	NC	4.0	4.1	5.7	2	1	1	1	1.0	4.7
blank	空白	kuuhaku	クウハク	No	NC	4.6	4.1	4.3	2	3	1	1	1.1	3.7
bone	骨	hone	ホネ	Yes	NC	4.1	3.2	4.9	1	1	1	1	1.0	4.6
bricks	レンガ	renga	レンガ	Yes	NC	3.4	2.9	5.7	2	3	2	1	1.1	3.7
broom	ほうき	houki	ホウキ	Yes	NC	3.4	2.7	5.5	3	1	1	1	1.0	2.3
brush	ブラシ	burashi	ブラシ	Yes	C	3.5	4.0	5.4	1	2	1	2	3.1	4.2
bus	バス	basu	バス	Yes	C	3.8	3.1	5.8	1	1	1	1	4.1	4.7
bust	胸	mune	ムネ	No	NC	4.3	3.2	4.9	2	3	1	1	1.2	4.2
button	ボタン	botan	ボタン	Yes	C	3.8	4.1	5.6	1	1	1	1	3.0	4.2
cake	ケーキ	keeki	ケーキ	Yes	C	3.5	4.5	5.4	2	1	1	1	2.6	4.2
call	コール	kooru	コール	No	C	4.6	4.7	2.7	1	4	1	2	3.0	3.6
camel	ラクダ	rakuda	ラクダ	Yes	NC	3.2	3.5	5.7	1	2	1	1	1.1	4.1
care	ケア	kea	ケア	No	C	4.6	4.1	2.8	1	8	1	2	3.9	4.1
career	キャリア	kyaria	キャリア	No	C	4.4	3.7	3.1	1	5	1	2	2.9	3.6
carrot	人参	ninjin	ニンジン	Yes	NC	3.6	3.1	6.1	1	1	1	1	1.0	4.8
case	ケース	keesu	ケース	No	C	4.3	4.5	3.7	1	6	1	2	3.3	3.8
caution	注意	chuui	チュウイ	No	NC	4.3	3.6	2.5	4	3	2	2	1.1	4.1
cherry	さくらんぼ	sakuranbo	サクランボ	Yes	NC	2.9	4.0	5.9	1	2	1	1	1.0	4.1
chimney	エントツ	entotsu	エントツ	Yes	NC	3.0	2.1	5.3	1	1	1	1	1.0	3.7
class	クラス	kurasu	クラス	No	C	4.0	4.8	4.3	2	2	1	1	3.5	3.7
classic	クラシック	kurashikku	クラシック	No	C	4.4	4.3	4.2	1	2	1	2	3.7	3.7
clear	クリアー	kuriaa	クリアー	No	C	4.4	4.2	2.6	1	6	1	3	3.7	3.6
clue	手がかり	tegakari	テガカリ	No	NC	4.3	3.6	2.8	3	2	1	1	1.1	3.9
cool	クール	kuuru	クール	No	C	4.3	4.6	2.7	1	4	1	2	3.9	3.8
coral	サンゴ	sango	サンゴ	No	NC	4.2	2.8	5.3	1	1	1	1	1.2	3.7
core	コア	koa	コア	No	C	4.9	3.5	2.6	1	4	1	1	3.7	4.1
course	コース	koosu	コース	No	C	4.3	4.5	3.4	1	3	1	2	3.9	4.5
