word,borrowing,age_oldest,age_youngest,age_oldest_num,age_youngest_num,word.1,phonology,phonlength,AoA,subtlexzipf,conc,cat,AoA_obj,source.language,source.word,source.language.mean.word.length,source.language.word.freq,source.word.length,18-260,word,5,age,source,effect,ids.code,ids.code2,1,modern.english,middle.english,old.english,old.english.length
handkerchief,7,1530,1530,470,470,handkerchief,h{Nk@JIf,8,7.22,3.21,5,Noun,2,English,NA,3.450980392,1.80E-05,8,6-810,handkerchief,7,1530,,,6-810,6-810,1,handkerchief,kercher,fihl,4
bicycle,7,#N/A,#N/A,#N/A,#N/A,bicycle,b2sIkP,6,4.26,3.92,4.89,Noun,2,English,NA,3.450980392,0.009532476,6,23-130,bicycle,7,1868,,,,,,,,,
radio,5,1913,1913,87,87,radio,r1dI5,5,5.17,4.82,4.74,Noun,2,Latin,radius,4.833333333,0.207542494,6,23-100,radio,5,1913,Latin contact,Replacement,,,,,,,
television,5,1907,1907,93,93,television,tElIvIZH,8,4.11,4.87,4.83,Noun,4,Greek,tÄ“le,5.388888889,0.184721857,4,23-110,television,5,1907,None, and coined in Britain from classical roots,,,,,,,
grass-skirt,5,1898,1898,102,102,grassskirt,gr{ssk3t,8,#N/A,#N/A,#N/A,Noun,NA,English,NA,3.450980392,1.80E-05,8,6-461,grass-skirt,5,1898,None,,6-461,6-461,1,grass-skirt,,,
motorcycle,5,1896,1896,104,104,motorcycle,m5t@s2kP,8,5.05,3.55,4.97,Noun,2,Greek,kÃºklos,5.388888889,0.147777485,6,23-135,motorcycle,5,1896,None,,,,,,,,
aeroplane,5,1866,1866,134,134,aeroplane,8r@pl1n,7,3.94,3.86,4.96,Noun,NA,Latin,aÄ“r + plÄÅnus,4.833333333,3.03E-06,12,23-160,aeroplane,5,1866,Latin contact,Insertion,,,,,,,
billy-goat,5,1861,1861,139,139,billygoat,bIlIg5t,7,#N/A,#N/A,#N/A,Noun,NA,English,NA,3.450980392,0.009532476,7,3-370,billy-goat,5,1861,None,,3-370,3-370,1,he-goat,bukke,bucca,5
stingy,5,1849,1849,151,151,stingy,stIn_I,6,7.78,3.02,2,Adjective,6,English,NA,3.450980392,0.009532476,6,11-540,stingy,5,1849,None,,11-540,11-540,1,avaricious,averous,feohgeorn,9
telephone,5,1835,1835,165,165,telephone,tElIf5n,7,4.63,4.32,4.96,Noun,2,Greek,tÄ“le + phÅçnÄ“,5.388888889,0.002501974,12,23-120,telephone,5,1835,Greek contact,Insertion,,,,,,,
lunch,5,1829,1829,171,171,lunch,lVnJ,4,3.61,4.72,4.31,Noun,2,English,NA,3.450980392,0.324104167,4,5-430,lunch,5,1829,None,,5-430,5-430,1,lunch,non-shench,noÌ„nmete,7
ridgepole,5,1788,1788,212,212,ridgepole,rI_p5l,6,14,#N/A,#N/A,Noun,12,Latin,pÄÅlus,4.833333333,0.322843879,5,7-530,ridgepole,5,1788,Latin contact,Coexistence,7-530,7-530,1,ridgepole,bem,first,5
donkey,5,1785,1785,215,215,donkey,dQNkI,5,6,3.99,5,Noun,2,English,NA,3.450980392,0.095324755,5,3-460,donkey,5,1785,None,,3-460,3-460,1,ass,asse,assa,4
