English name	Japanese name	SUBTLWF	log SBTLWF	AK	logAK	UkWac	logUK	JpWac	logJP	Length	Syll	Mora	ENoS	JNoS
access	アクセス	31.7	3.46	1901	7.55	424272	12.96	29653	10.30	6	2	4	8	2
acid	酸	10.0	2.30	431	6.07	32830	10.40	4218	8.35	4	2	2	5	4
aid	援助	13.9	2.63	35098	10.47	87524	11.38	18824	9.84	3	1	3	6	1
arm	腕	65.4	4.18	5656	8.64	41717	10.64	11039	9.31	3	1	2	8	5
arrow	矢印	7.8	2.06	213	5.36	9330	9.14	1239	7.12	5	2	4	2	1
ashtray	灰皿	3.3	1.18	364	5.90	564	6.34	560	6.33	7	2	4	1	1
balloon	風船	8.7	2.16	804	6.69	8837	9.09	427	6.06	7	2	4	4	2
banana	バナナ	10.7	2.37	1264	7.14	5774	8.66	2770	7.93	6	3	3	2	1
bed	ベッド	187.1	5.23	4571	8.43	91169	11.42	9427	9.15	3	1	3	13	2
bench	ベンチ	9.7	2.27	2940	7.99	15246	9.63	2817	7.94	5	1	3	9	1
bicycle	自転車	6.6	1.89	7809	8.96	9351	9.14	14077	9.55	7	3	4	2	1
blank	空白	9.7	2.27	2627	7.87	18551	9.83	1894	7.55	5	1	4	8	2
bone	骨	26.1	3.26	6312	8.75	32268	10.38	8365	9.03	4	1	2	6	6
bricks	レンガ	3.9	1.37	1488	7.31	9020	9.11	1095	7.00	6	1	3	2	1
broom	ほうき	4.8	1.56	394	5.98	1691	7.43	524	6.26	5	1	3	5	1
brush	ブラシ	14.2	2.65	385	5.95	12780	9.46	988	6.90	5	1	3	14	1
bus	バス	74.2	4.31	11801	9.38	94182	11.45	29002	10.28	3	1	2	7	1
bust	胸	27.6	3.32	113755	11.64	5510	8.61	15323	9.64	4	1	2	10	7
button	ボタン	28.3	3.34	2558	7.85	72516	11.19	11724	9.37	6	2	3	9	2
cake	ケーキ	45.1	3.81	942	6.85	18535	9.83	7745	8.95	4	1	3	4	1
call	コール	861.4	6.76	3021	8.01	269805	12.51	4161	8.33	4	1	3	41	4
camel	ラクダ	5.0	1.61	542	6.30	2837	7.95	362	5.89	5	2	3	1	2
care	ケア	485.3	6.18	1730	7.46	365146	12.81	8244	9.02	4	1	2	11	2
career	キャリア	45.2	3.81	1525	7.33	135195	11.81	8783	9.08	6	2	4	3	3
carrot	人参	3.8	1.34	1812	7.50	3902	8.27	936	6.84	6	2	4	4	2
case	ケース	282.4	5.64	22587	10.03	495699	13.11	27323	10.22	4	1	3	22	2
caution	注意	5.2	1.64	12308	9.42	13690	9.52	34338	10.44	7	2	3	5	3
cherry	さくらんぼ	13.6	2.61	708	6.56	4301	8.37	15	2.71	6	2	5	5	1
chimney	エントツ	4.2	1.43	635	6.45	7924	8.98	687	6.53	7	2	4	2	1
class	クラス	117.4	4.77	9927	9.20	234399	12.36	24518	10.11	51	3	9	2	
classic	クラシック	16.2	2.78	1729	7.46	60857	11.02	5237	8.56	7	2	5	52	
clear	クリアー	171.8	5.15	954	6.86	295974	12.60	814	6.70	5	1	4	45	4
clue	手がかり	17.6	2.87	1316	7.18	10913	9.30	1960	7.58	4	1	4	3	2
cool	クール	195.9	5.28	193	5.26	53108	10.88	4169	8.34	4	1	3	11	2
coral	サンゴ	2.4	0.86	1078	6.98	6962	8.85	378	5.93	5	2	3	5	2
core	コア	9.8	2.28	195	5.27	82620	11.32	5098	8.54	4	1	2	11	5
course	コース	487.2	6.19	10728	9.28	620418	13.34	23421	10.06	6	1	3	13	4
cow	牛	25.5	3.24	4585	8.43	11145	9.32	11445	9.35	3	1	2	4	1
crime	犯罪	71.2	4.27	12694	9.45	100196	11.51	26146	10.17	5	1	4	2	1
cross	クロス	55.0	4.01	258	5.55	84840	11.35	4570	8.43	5	1	3	16	3
cure	治る	20.8	3.04	2035	7.62	17772	9.79	1574	7.36	4	1	3	5	8
curtain	カーテン	10.3	2.33	962	6.87	7198	8.88	2513	7.83	7	2	4	3	2
cycle	サイクル	5.9	1.77	1396	7.24	69463	11.15	4319	8.37	5	2	4	11	3
deer	シカ	8.7	2.16	248	5.51	13747	9.53	2482	7.82	4	1	2	1	1
demand	要求	17.1	2.84	47607	10.77	105817	11.57	31351	10.35	6	2	5	11	1
desk	机	43.9	3.78	4091	8.32	27593	10.23	6507	8.78	4	1	3	1	2
dolphin	イルカ	2.8	1.02	891	6.79	3386	8.13	1755	7.47	7	2	3	2	1
door	ドア	292.1	5.68	4557	8.42	119227	11.69	18755	9.84	4	1	2	5	1
dress	ドレス	87.2	4.47	586	6.37	30358	10.32	3037	8.02	5	1	3	21	1
