"","X.3","X.2","word","borrowing","age_oldest","age_youngest","age_oldest_num","age_youngest_num","word.1","phonology","phonlength","AoA","subtlexzipf","conc","cat","nounornot","verbornot","adjornot","advornot","pronounornot","functionornot","numberornot","X","X.1","AoA_obj","source.language","source.word"
"1",1,1,"handkerchief",7,"1530","1530","470","470","handkerchief","h{Nk@JIf",8,"7.22","3.21","5.00","Noun",1,0,0,0,0,0,0,NA,0.999924828,2,NA,NA
"2",2,2,"bicycle",7,"#N/A","#N/A","#N/A","#N/A","bicycle","b2sIkP",6,"4.26","3.92","4.89","Noun",1,0,0,0,0,0,0,NA,NA,2,NA,NA
"3",3,3,"radio",5,"1913","1913","87","87","radio","r1dI5",5,"5.17","4.82","4.74","Noun",1,0,0,0,0,0,0,NA,NA,2,"Latin","radius"
"4",4,4,"television",5,"1907","1907","93","93","television","tElIvIZH",8,"4.11","4.87","4.83","Noun",1,0,0,0,0,0,0,NA,NA,4,"Greek","tēle"
"5",5,5,"grass-skirt",5,"1898","1898","102","102","grassskirt","gr{ssk3t",8,"#N/A","#N/A","#N/A","Noun",1,0,0,0,0,0,0,NA,NA,NA,NA,NA
"6",6,6,"motorcycle",5,"1896","1896","104","104","motorcycle","m5t@s2kP",8,"5.05","3.55","4.97","Noun",1,0,0,0,0,0,0,NA,NA,2,"Greek","kúklos"
"7",7,7,"aeroplane",5,"1866","1866","134","134","aeroplane","8r@pl1n",7,"3.94","3.86","4.96","Noun",1,0,0,0,0,0,0,NA,NA,NA,"Latin","aēr + plānus"
"8",8,8,"billy-goat",5,"1861","1861","139","139","billygoat","bIlIg5t",7,"#N/A","#N/A","#N/A","Noun",1,0,0,0,0,0,0,NA,NA,NA,NA,NA
"9",9,9,"stingy",5,"1849","1849","151","151","stingy","stIn_I",6,"7.78","3.02","2.00","Adjective",0,0,1,0,0,0,0,NA,NA,6,NA,NA
"10",10,10,"telephone",5,"1835","1835","165","165","telephone","tElIf5n",7,"4.63","4.32","4.96","Noun",1,0,0,0,0,0,0,NA,NA,2,"Greek","tēle + phōnē"
"11",11,11,"lunch",5,"1829","1829","171","171","lunch","lVnJ",4,"3.61","4.72","4.31","Noun",1,0,0,0,0,0,0,NA,NA,2,NA,NA
"12",12,12,"ridgepole",5,"1788","1788","212","212","ridgepole","rI_p5l",6,"14.00","#N/A","#N/A","Noun",1,0,0,0,0,0,0,NA,NA,12,"Latin","pālus"
"13",13,13,"donkey",5,"1785","1785","215","215","donkey","dQNkI",5,"6.00","3.99","5.00","Noun",1,0,0,0,0,0,0,NA,NA,2,NA,NA
"14",14,14,"screwdriver",5,"1779","1779","221","221","screwdriver","skrudr2v@R",10,"6.00","3.34","4.90","Noun",1,0,0,0,0,0,0,NA,NA,4,NA,NA
"15",15,15,"livestock",5,"1775","1775","225","225","livestock","l2vstQk",7,"7.89","3.75","4.70","Noun",1,0,0,0,0,0,0,NA,NA,4,NA,NA
"16",16,16,"sniff",5,"1767","1767","233","233","sniff","snIf",4,"6.16","3.87","4.17","Verb",0,1,0,0,0,0,0,NA,NA,2,NA,NA
