"","No","Words.(Indonesian)","Words.(English)","ALL_Valence_N","ALL_Valence_Mean","ALL_Valence_SD","ALL_Arousal_N","ALL_Arousal_Mean","ALL_Arousal_SD","ALL_Dominance_N","ALL_Dominance_Mean","ALL_Dominance_SD","ALL_Predictability_N","ALLPredictability_Mean","ALL_Predictability_SD","ALL_Concreteness_N","ALL_Concreteness_Mean","ALL_Concreteness_SD","ALL_Frequency_N","ALL_Frequency_Mean","ALL_Frequency_SD","Borrowed","age","age.youngest","age.oldest","age.youngest.num","age.oldest.num","Parameter_name","bor15","bor15.cat","cat","ALL_Valence_Mean.scaled","ALL_Frequency_Mean.scaled","ALL_Concreteness_Mean.scaled","ALL_Dominance_Mean.scaled","ALL_Arousal_Mean.scaled","ALLPredictability_Mean.scaled"
"3",3,"abu","ash ",56,3.875,1.47786701333067,69,3.97101449275362,1.65361470806474,82,4.5,2.21247863908221,68,5.92647058823529,2.22144350320417,70,3.2,2.21064617741943,61,5,2.26568606239552,"5. no evidence for borrowing","Prehistorical",NA,NA,NA,NA,"the ash",0,"0","Noun",-1.11643794743786,-1.45772817547513,-0.616095250668839,-1.63912153298868,-1.2759936063729,0.713201606413943
"6",6,"adat","custom, tradition, manners",56,5.92857142857143,1.88638319501674,69,4.69565217391304,2.06728258566713,82,5.57317073170732,2.39356383809457,68,6.20588235294118,2.09162383200453,70,4.8,2.30059853585722,61,5.49180327868852,1.60854956217988,"1. clearly borrowed","Early Malay",NA,NA,NA,NA,"the custom",1,"1","Noun",0.775475869505299,-0.513595891706261,1.18680793119099,0.726230879826608,-0.0528560888766627,1.11296120557362
"10",10,"air","water ",56,5.71428571428571,2.29397856623327,69,3.71014492753623,2.07294511487289,82,5.40243902439024,2.28716092324713,68,6.63235294117647,2.13642477025203,70,3,1.98545435241086,61,6.81967213114754,2.03722193784666,"5. no evidence for borrowing","Prehistorical",NA,NA,NA,NA,"the water",0,"0","Noun",0.578058775563404,2.03556127446967,-0.841458148401317,0.349924814151448,-1.71632311267154,1.72312059376471
"11",11,"air terjun","waterfall ",56,5.78571428571429,1.904199051038,69,4.47826086956522,2.58734872051189,82,5.30487804878049,2.15846896121979,68,6.33823529411765,2.23680405081017,70,3.11428571428571,2.0679952985598,61,5.01639344262295,2.1408082841043,"5. no evidence for borrowing","Prehistorical",NA,NA,NA,NA,"the waterfall",0,"0","Noun",0.643864473544036,-1.4262570993495,-0.712679349697044,0.134892776622786,-0.419797344125533,1.30232101570189
"12",12,"akal","mind, intellect, reason",56,6.17857142857143,1.75920584207909,69,5.07246376811594,2.19168777684413,82,6.34146341463415,2.05612311801185,68,6.11764705882353,2.36598666278969,70,5.55714285714286,2.66830953534209,61,5.78688524590164,2.38826822961995,"1. clearly borrowed","Early Malay",NA,NA,NA,NA,"the mind",1,"1","Noun",1.00579581243751,0.0528834785550571,2.0399674726068,2.41960817536482,0.583175420221379,0.986721332154774
"16",16,"alam","nature",56,6.19642857142857,2.52564766028362,69,4.92753623188406,2.27724576019902,82,5.20731707317073,2.4632499102701,68,6.41176470588235,2.48118468404665,70,3.97142857142857,2.34657584992723,61,6.01639344262295,2.21729417142222,"1. clearly borrowed","Early Malay",NA,NA,NA,NA,"the world",1,"1","Noun",1.02224723693267,0.49347854431386,0.253161640585007,-0.0801392609058767,0.338547916722131,1.40752091021759
"19",19,"alat","tool, instrument, device",56,5.03571428571429,1.64000316756108,69,3.88405797101449,1.90615282305098,82,5.65853658536585,2.0501099771471,68,5.85294117647059,2.21436764250872,70,3.45714285714286,2.06197959116198,61,5.98360655737705,2.23227688902825,"1. clearly borrowed","Early Malay",NA,NA,NA,NA,"the tool",1,"1","Noun",-0.0470953552525962,0.430536392062603,-0.326342953584223,0.914383912664187,-1.42277010847245,0.608001711898238
"21",21,"alis","eyebrow",56,4.76785714285714,1.8487447478917,69,3.84057971014493,2.05528864729505,82,5.48780487804878,2.01380361467906,68,7,1.83660946538947,70,3.12857142857143,2.06363565885676,61,5.55737704918033,2.0778561881896,"5. no evidence for borrowing","Prehistorical",NA,NA,NA,NA,"the eyebrow",0,"0","Noun",-0.293866722679964,-0.387711587203746,-0.69658199985901,0.538077846989029,-1.49615835952222,2.24912006634323
"31",31,"anak","child",56,6.30357142857143,2.12277385304437,69,5.08695652173913,2.32467031460619,82,5.4390243902439,2.08520692626024,68,6.22058823529412,2.12199278513336,70,2.94285714285714,1.98461995256212,61,6.27868852459016,2.530685990932,"5. no evidence for borrowing","Prehistorical",NA,NA,NA,NA,"the child(1)",0,"0","Noun",1.12095578390362,0.997015762323921,-0.905847547753454,0.430561828224698,0.607638170571304,1.13400118447676
"36",36,"anggur","wine ",56,5.83928571428571,1.85645591690957,69,4.50724637681159,2.56459599160774,82,5.68292682926829,2.07797413677323,68,5.73529411764706,2.66328070081022,70,3.01428571428571,2.31875064525391,61,5.75409836065574,2.39899796932607,"1. clearly borrowed","Early Malay",NA,NA,NA,NA,"the wine",1,"1","Noun",0.69321874702951,-0.0100586736961997,-0.825360798563283,0.968141922046352,-0.370871843425685,0.439681880673111
