"Stimuli","AoA","SD","X","Stimuli.1","FreqSub","SD.1","freq2","cat","phonlength","Borrowed"
"coeur",5.494994438,2.18400835,NA,"coeur",5.25,1.481365736,380.07,"NOM",3,FALSE
"coffre",6.13570634,2.434960422,NA,"coffre",3.785714286,0.994694923,25.28,"NOM",4,FALSE
"coiffe",9.313681869,2.947935308,NA,"coiffe",3.571428571,1.345185418,7.71,"NOM",4,TRUE
"coin",5.492769744,2.340848114,NA,"coin",4.428571429,1.372442306,167.09,"NOM",3,FALSE
"coing",8.924450549,2.70092087,NA,"coing",2.964285714,1.035737092,NA,"NOM",3,FALSE
"col",7.52836485,2.612624438,NA,"col",4.035714286,1.452511053,51.82,"NOM",3,FALSE
"colle",5.706340378,1.981093431,NA,"colle",4.571428571,1.168366109,20.2,"NOM",3,FALSE
"comble",11.06785714,2.6437956,NA,"comble",3.357142857,1.223664373,28.52,"ADJ",4,FALSE
"comme",5.283648498,1.606438658,NA,"comme",6.75,0.645497224,3795,"ADV",3,FALSE
"compte",7.501668521,2.942093469,NA,"compte",5.107142857,1.196887498,238.78,"NOM",3,FALSE
"comte",9.548809524,3.045441289,NA,"comte",3.214285714,1.066567456,51.42,"NOM",3,FALSE
"cône",8.954393771,3.123962193,NA,"cône",3.321428571,0.904866326,2.57,"NOM",3,FALSE
"conte",5.419354839,2.450806319,NA,"conte",3.571428571,1.168366109,7.64,"NOM",3,FALSE
"contre",6.491698595,2.015946281,NA,"contre",5.75,1.377732974,613.44,"NOM",4,FALSE
"coq",4.209121246,1.69185271,NA,"coq",3.285714286,0.975900073,15.68,"NOM",3,TRUE
"coque",8.140155729,2.862813114,NA,"coque",3.392857143,1.196887498,9.93,"NOM",3,FALSE
"corde",5.731800766,1.724925928,NA,"corde",4,1.088662108,32.03,"NOM",4,FALSE
"corne",6.562847608,2.725033294,NA,"corne",3.107142857,0.875141712,9.94,"NOM",4,FALSE
"corps",5.529477197,1.941621094,NA,"corps",5.178571429,1.362284884,480.34,"NOM",3,FALSE
"cote",8.531289911,2.662918137,NA,"cote",4.107142857,1.314852075,5.34,"NOM",3,FALSE
"côte",7.812013348,2.378216554,NA,"côte",4.428571429,1.259881577,90.74,"NOM",3,FALSE
"cou",4.536151279,1.689944963,NA,"cou",4.607142857,1.13330999,112.7,"NOM",2,FALSE
"couche",4.958843159,2.151268693,NA,"couche",4.464285714,1.666269794,40.88,"NOM",3,FALSE
"coude",5.282758621,1.471569652,NA,"coude",4.464285714,1.231745009,33.24,"NOM",3,FALSE
"coudre",7.097886541,2.395784829,NA,"coudre",3.535714286,0.961562881,8.65,"VER",4,FALSE
"couette",6.807142857,2.895894835,NA,"couette",5.5,1.232281834,1.28,"NOM",4,FALSE
"coup",5.604004449,1.524706917,NA,"coup",4.892857143,1.39680285,641.55,"NOM",2,FALSE
"coupe",6.957730812,2.044662603,NA,"coupe",4.428571429,1.288943622,51.35,"NOM",3,FALSE
"couple",8.210714286,2.482351499,NA,"couple",5.214285714,1.19743995,47.43,"NOM",4,TRUE
"cour",5.703571429,2.437494474,NA,"cour",4.5,1.527525232,150.14,"NOM",3,FALSE
"courbe",8.953281424,2.402060048,NA,"courbe",3.75,1.075828707,17.09,"ADJ",4,FALSE
"courge",9.918798665,3.545404416,NA,"courge",2.857142857,0.84827868,NA,"NOM",4,FALSE
"cours",8.499443826,2.293046994,NA,"cours",6.678571429,0.669636243,186.02,"VER",3,FALSE
"course",5.708565072,1.997310019,NA,"course",4.535714286,1.231745009,52.3,"NOM",4,TRUE
"court",5.993325918,2.301004923,NA,"court",5.357142857,1.223664373,88.72,"VER",3,TRUE
"coût",9.208008899,2.639240686,NA,"coût",4.75,1.294575578,1.22,"NOM",2,FALSE
"crabe",5.816462736,1.739484536,NA,"crabe",3.285714286,1.049061057,7.3,"NOM",4,TRUE
"craie",7.483870968,11.04983822,NA,"craie",3.571428571,1.03381965,10.2,"NOM",3,FALSE
"craindre",12.40934372,20.54870951,NA,"craindre",4.285714286,1.560084111,19.73,"VER",5,TRUE
"crainte",9.103448276,2.366431913,NA,"crainte",4.178571429,1.218790275,50.27,"VER",4,FALSE
"crampe",9.919047619,2.14850924,NA,"crampe",3.964285714,1.035737092,2.84,"NOM",4,TRUE
"cran",9.42269188,2.839809171,NA,"cran",3.392857143,0.994029797,6.96,"NOM",3,TRUE
"crâne",7.312569522,2.542118328,NA,"crâne",4.142857143,1.078898125,54.53,"ADJ",4,FALSE
"crasse",7.716351502,2.836778424,NA,"crasse",3.714285714,1.242969648,13.11,"NOM",4,FALSE
"crèche",7.026696329,2.642091058,NA,"crèche",3.642857143,1.061595086,9.46,"NOM",4,TRUE
"crème",6.216666667,1.507071454,NA,"crème",4.821428571,1.218790275,26.49,"ADJ",4,TRUE
"crêpe",4.964404894,1.538047918,NA,"crêpe",3.857142857,0.890870806,6.15,"NOM",4,FALSE
"crête",8.997775306,2.528971911,NA,"crête",3.321428571,1.055973184,21.62,"NOM",4,FALSE
"creux",7.552380952,2.2550072,NA,"creux",3.892857143,1.39680285,62.57,"ADJ",3,TRUE
"cri",4.816462736,1.79605302,NA,"cri",4.571428571,1.259881577,71.55,"NOM",3,TRUE
"crible",12.74367816,2.344227442,NA,"crible",3.071428571,1.214985793,1.55,"NOM",5,FALSE
"crime",9.42269188,2.449050727,NA,"crime",4.214285714,1.19743995,29.32,"NOM",4,FALSE
"crique",11.70411568,2.741948134,NA,"crique",2.857142857,0.931517508,3.78,"NOM",4,TRUE
"crise",8.350389321,2.967566615,NA,"crise",4.642857143,1.223664373,37.97,"NOM",4,FALSE
"croc",7.745272525,2.551828356,NA,"croc",3.285714286,1.329359157,1.15,"NOM",3,TRUE
"croire",6.278086763,2.421232246,NA,"croire",5.357142857,1.471061237,167.91,"VER",5,FALSE
"croître",11.03448276,2.620432534,NA,"croître",3.678571429,1.467009339,2.77,"VER",6,FALSE
"croix",5.815350389,2.259032051,NA,"croix",3.142857143,1.297127474,71.62,"NOM",4,FALSE
"crosse",11.11401099,2.781980947,NA,"crosse",2.75,1.075828707,10.14,"NOM",4,TRUE
"croupe",10.03703704,3.807699502,NA,"croupe",3.321428571,1.248808956,10.95,"NOM",4,TRUE
"croûte",6.493882091,2.468293564,NA,"croûte",3.392857143,0.737326789,12.3,"NOM",4,FALSE
"cru",7.108333333,2.092405534,NA,"cru",4.392857143,1.448863813,102.7,"VER",3,FALSE
"cruche",8.477380952,2.281610643,NA,"cruche",3.428571429,1.372442306,3.92,"ADJ",4,TRUE
"crue",9.955952381,3.036369581,NA,"crue",3.321428571,1.020296668,12.57,"VER",3,FALSE
"crypte",11.67519466,2.377312117,NA,"crypte",2.535714286,0.881166855,2.9,"NOM",5,FALSE
"cube",5.17352614,2.639240686,NA,"cube",3.75,0.751541625,5.81,"NOM",3,FALSE
"cuir",8.424916574,2.481761428,NA,"cuir",4.142857143,1.112697281,76.08,"NOM",4,FALSE
"cuisse",5.248053393,2.088370255,NA,"cuisse",4.785714286,1.370513363,21.22,"NOM",4,FALSE
"cuit",6.208008899,2.258079877,NA,"cuit",5.142857143,1.508354161,9.32,"VER",3,FALSE
"cuivre",10.17797553,1.984889152,NA,"cuivre",3.142857143,0.890870806,30.68,"NOM",5,FALSE
"culte",10.81646274,2.508480241,NA,"culte",3.821428571,1.188013325,13.58,"NOM",4,FALSE
"cure",9.547619048,3.122038827,NA,"cure",3.464285714,0.961562881,8.32,"NOM",3,FALSE
"cuve",9.779755284,2.108355115,NA,"cuve",3.178571429,1.055973184,2.29,"NOM",3,FALSE
"cycle",10.10119048,2.335384977,NA,"cycle",3.857142857,1.268252975,4.05,"NOM",4,FALSE
"cygne",6.216666667,2.14850924,NA,"cygne",3.071428571,1.015749,4.66,"NOM",3,FALSE
"daim",9.498331479,2.975888771,NA,"daim",2.892857143,1.13330999,5.14,"NOM",2,TRUE
"dalle",10.70856507,2.907905428,NA,"dalle",3.678571429,1.492042384,14.73,"NOM",3,TRUE
"dame",5.176863181,2.061422413,NA,"dame",4.642857143,1.520581899,110.07,"NOM",3,TRUE
"dans",4.887652948,1.94880719,NA,"dans",6.75,0.645497224,8296.08,"PRE",2,FALSE
"danse",5.209121246,1.82456358,NA,"danse",4.5,1.170628195,38.99,"NOM",3,TRUE
"date",5.998887653,1.42557289,NA,"date",5.75,1.205696356,40.4,"NOM",3,TRUE
"datte",9.345939933,3.209193782,NA,"datte",3,0.981306763,NA,"NOM",3,FALSE
"de",4.816462736,1.92158089,NA,"de",6.892857143,0.56694671,38928.92,"ART",2,FALSE
"dé",5.427141268,1.646762872,NA,"dé",4.428571429,1.619981057,3.65,"NOM",2,FALSE
"dent",4.06785317,1.622423516,NA,"dent",5.357142857,1.339272487,11.15,"NOM",2,FALSE
"des",4.644048943,1.557500065,NA,"des",6.928571429,0.377964473,10624.93,"ART",2,FALSE
"dès",8.165739711,2.495587504,NA,"dès",6.214285714,1.257780021,275.07,"PRE",2,FALSE
"dette",10.47738095,2.235810943,NA,"dette",3.571428571,1.103146054,5.14,"NOM",3,FALSE
"deuil",10.25238095,2.531638877,NA,"deuil",3.035714286,0.792658109,23.51,"NOM",3,FALSE
"deux",3.639599555,1.178663358,NA,"deux",5.857142857,1.325373063,1557.91,"ADJ",2,FALSE
"diable",7.314794216,1.99569429,NA,"diable",3.357142857,1.026114055,53.92,"ADJ",5,FALSE
"diète",11.38375973,2.539579171,NA,"diète",3.535714286,1.07089934,NA,"NOM",4,FALSE
"dieu",7.282536151,1.661713069,NA,"dieu",4,1.387777333,368.51,"NOM",3,FALSE
"digne",10.44404762,2.079179768,NA,"digne",3.75,1.350582865,27.3,"ADJ",3,FALSE
"dinde",6.846496107,2.540849066,NA,"dinde",3.892857143,1.342724861,1.69,"NOM",3,FALSE
"diode",12.81646274,1.85089342,NA,"diode",2.75,0.967049733,NA,"NOM",4,FALSE
"dire",4.663095238,2.045741301,NA,"dire",6.321428571,0.904866326,856.76,"NOM",3,FALSE
"disque",7.204671858,2.293984654,NA,"disque",5,1.539600718,21.49,"NOM",4,FALSE
"dit",4.355951057,1.535949148,NA,"dit",6.642857143,0.678466993,2615.06,"VER",2,FALSE
"dix",4.352614016,1.430843048,NA,"dix",5.392857143,1.547741143,209.86,"ADJ",3,FALSE
"do",7.75083426,2.108865057,NA,"do",3.5,1.503083251,3.78,"NOM",2,TRUE
"dogme",14.9010989,3.023715784,NA,"dogme",2.964285714,0.961562881,1.35,"NOM",4,FALSE
"doigt",3.711902113,1.450250256,NA,"doigt",5.678571429,0.944911183,80.34,"NOM",3,FALSE
"dôme",10.77864294,2.813943775,NA,"dôme",3.464285714,1.55115591,3.78,"NOM",3,FALSE
"don",9.243604004,2.619611725,NA,"don",4.107142857,1.39680285,30.27,"NOM",2,FALSE
"donc",6.78865406,1.927726389,NA,"donc",6.821428571,0.475594866,445.88,"CON",3,FALSE
"donne",4.337164751,2.058862855,NA,"donne",5.964285714,1.346659595,152.03,"NOM",3,FALSE
"dont",7.954393771,2.441134938,NA,"dont",6.321428571,0.944911183,960.34,"PRO",2,FALSE
"dos",4.781979978,2.071828448,NA,"dos",5.142857143,1.268252975,213.99,"NOM",2,FALSE
"dose",8.817575083,2.465678384,NA,"dose",4.214285714,0.917207633,9.52,"NOM",3,FALSE
"douane",11.17130145,2.483060893,NA,"douane",3.214285714,0.917207633,8.51,"NOM",4,TRUE
"double",7.351501669,2.166708023,NA,"double",4.857142857,1.177388375,69.53,"ADJ",4,TRUE
"douche",4.674082314,1.386571543,NA,"douche",6.107142857,0.831744517,20.68,"NOM",3,FALSE
"doué",8.390433815,2.022986188,NA,"doué",4.642857143,1.471061237,11.62,"VER",3,FALSE
"douille",11.71301446,3.515556824,NA,"douille",3.035714286,0.922241346,1.01,"NOM",3,FALSE
"doute",8.804761905,2.687561814,NA,"doute",5.107142857,1.286375491,361.35,"NOM",3,FALSE
"doux",5.14349277,2.20751405,NA,"doux",4.642857143,1.161553421,67.91,"ADJ",2,FALSE
"douze",5.032258065,1.263209771,NA,"douze",4.892857143,1.499117906,48.18,"ADJ",3,FALSE
"drame",9.033333333,2.839783058,NA,"drame",3.964285714,1.07089934,32.5,"NOM",4,FALSE
"drap",8.207142857,13.22588893,NA,"drap",4.928571429,1.358882205,33.18,"NOM",3,TRUE
"drogue",10.91546162,2.218688947,NA,"drogue",4.285714286,1.181873681,11.49,"NOM",4,TRUE
"droit",6.810901001,2.669219208,NA,"droit",5.5,1.374368542,244.87,"ADJ",4,FALSE
"droite",5.705228031,1.728943987,NA,"droite",6.178571429,0.983326607,195.95,"ADJ",5,FALSE
"drôle",6.243604004,2.462187156,NA,"drôle",5.285714286,1.301200097,99.93,"ADJ",4,TRUE
"druide",8.741935484,2.501612383,NA,"druide",2.785714286,0.832539304,2.84,"NOM",5,FALSE
"du",5.0756396,1.833382209,NA,"du",6.464285714,1.231745009,6882.16,"ART",2,FALSE
"dû",9.84047619,2.968028875,NA,"dû",4.678571429,1.634207735,250.68,"VER",2,FALSE
"duc",9.955300128,2.554817723,NA,"duc",2.821428571,1.123933945,14.8,"NOM",3,FALSE
"duel",9.027808676,2.072347378,NA,"duel",3.392857143,0.737326789,4.93,"NOM",4,FALSE
"dune",8.745272525,2.403849959,NA,"dune",2.785714286,0.738223235,3.45,"NOM",3,TRUE
"duo",9.438095238,1.837039097,NA,"duo",4,1.276569477,2.09,"NOM",3,FALSE
"dupe",15.12013348,20.08626557,NA,"dupe",3.321428571,0.944911183,8.51,"ADJ",3,FALSE
"dur",5.21547619,2.008316044,NA,"dur",5.5,1.452966315,95.21,"ADJ",3,FALSE
"eau",3.640711902,1.118755068,NA,"eau",6.678571429,0.818923025,417.84,"NOM",1,FALSE
"elfe",10.51547619,2.750339582,NA,"elfe",2.892857143,0.831744517,0.54,"NOM",3,TRUE
"elle",4.426028921,1.517638233,NA,"elle",6.928571429,0.262265264,6991.49,"PRO",2,FALSE
"en",5.532814238,1.929399037,NA,"en",6.857142857,0.356348323,11402.97,"ADV",1,FALSE
"encre",6.494994438,1.539445508,NA,"encre",4.5,1.261979632,28.85,"NOM",3,FALSE
"entre",5.586904762,1.941974348,NA,"entre",6.464285714,0.692934867,892.77,"PRE",3,FALSE
"est",5.335714286,1.868061876,NA,"est",6.535714286,1.318869967,7984.12,"VER",1,TRUE
"et",3.997775306,1.69185271,NA,"et",6.964285714,0.188982237,20879.73,"CON",1,FALSE
"être",5.784204672,2.048865409,NA,"être",6.464285714,0.83808171,1268.44,"AUX",3,FALSE
"eux",5.886904762,2.001436266,NA,"eux",6.321428571,0.983326607,504.26,"PRO",1,FALSE
"fa",8.002298851,2.116166562,NA,"fa",2.892857143,1.13330999,1.08,"NOM",2,FALSE
"fable",7.174638487,2.159251165,NA,"fable",3.25,0.887151079,5.81,"NOM",4,FALSE
"fac",12.81423804,2.108355115,NA,"fac",6.464285714,0.881166855,2.09,"NOM",3,FALSE
"face",7.031145717,1.938295449,NA,"face",5.214285714,1.166099635,262.16,"NOM",3,TRUE
"fade",10.53058954,2.764988479,NA,"fade",3.714285714,0.975900073,11.02,"ADJ",3,FALSE
"faible",7.472619048,2.254242488,NA,"faible",4.75,1.350582865,46.02,"ADJ",4,FALSE
"faille",10.88214286,2.588435821,NA,"faille",3.428571429,1.317364693,9.39,"NOM",3,TRUE
"faim",4.244716352,1.738866273,NA,"faim",6.607142857,0.875141712,74.93,"NOM",2,FALSE
"faire",4.853170189,1.896799795,NA,"faire",6.428571429,1.168366109,1555.14,"VER",3,FALSE
"fait",5.815350389,2.690085341,NA,"fait",6.535714286,0.881166855,1811.83,"VER",2,FALSE
"fan",9.777011494,2.080008842,NA,"fan",4.678571429,1.540888907,1.49,"NOM",3,TRUE
"faon",6.670745273,2.173149936,NA,"faon",2.678571429,0.862965234,NA,"NOM",2,FALSE
"farce",6.890989989,2.267109381,NA,"farce",3.5,0.745355992,9.13,"NOM",4,FALSE
"fard",10.91502463,2.305487136,NA,"fard",3.428571429,1.525792361,NA,"NOM",3,TRUE
"faune",9.492769744,2.979860717,NA,"faune",3.071428571,0.899735411,5.95,"NOM",3,FALSE
"faute",5.711902113,1.141589158,NA,"faute",5.357142857,1.19301317,81.89,"NOM",3,FALSE
"fauve",8.397619048,2.609443504,NA,"fauve",2.928571429,0.857583661,14.8,"ADJ",3,TRUE
"fax",11.63626251,2.392191599,NA,"fax",3.75,1.322875656,0.14,"NOM",4,FALSE
"fée",4.994438265,1.655229575,NA,"fée",3.25,1.040833,6.62,"NOM",2,FALSE
"feindre",12.13809524,2.921186973,NA,"feindre",2.857142857,1.044005311,4.39,"VER",4,FALSE
"feinte",11.06340378,2.557300324,NA,"feinte",3.464285714,1.261455446,6.35,"ADJ",3,FALSE
"femme",5.459399333,1.700727232,NA,"femme",5.857142857,1.325373063,680.2,"NOM",3,FALSE
"fendre",9.846496107,2.884888325,NA,"fendre",3.5,1.138550085,6.89,"VER",4,FALSE
"fente",8.457174638,2.337630452,NA,"fente",3.535714286,1.137969044,10.54,"NOM",3,FALSE
"fer",7.180200222,2.578238125,NA,"fer",3.75,1.004618962,106.28,"NOM",3,FALSE
"ferme",5.028921023,2.237510137,NA,"ferme",4.357142857,1.725930468,115,"ADJ",4,TRUE
"fête",5.824249166,2.022454593,NA,"fête",5.035714286,1.231745009,72.23,"NOM",3,FALSE
"feu",4.852057842,1.773763389,NA,"feu",4.714285714,1.329359157,215.47,"ADJ",2,FALSE
"feuille",4.781979978,1.557500065,NA,"feuille",5.821428571,1.020296668,46.35,"NOM",3,FALSE
"feutre",4.518353726,9.203201874,NA,"feutre",4.107142857,1.065947178,13.45,"NOM",4,TRUE
"fiable",11.27697442,2.483060893,NA,"fiable",4.107142857,1.030615987,1.08,"ADJ",5,FALSE
"fibre",11.2458287,1.978921179,NA,"fibre",4.035714286,1.346659595,2.5,"NOM",4,FALSE
"fiche",7.959955506,2.31079747,NA,"fiche",5.25,1.456149158,17.98,"NOM",3,FALSE
"fier",8.139043382,2.42877021,NA,"fier",4.5,1.261979632,36.28,"ADJ",4,FALSE
"fièvre",6.36547619,1.715715058,NA,"fièvre",3.607142857,1.165532328,38.58,"NOM",5,FALSE
"figue",9.312569522,2.594037829,NA,"figue",3.214285714,1.031257516,1.28,"NOM",3,FALSE
"fil",5.708565072,1.785846385,NA,"fil",4.464285714,1.318869967,75.95,"NOM",3,FALSE
"file",7.385984427,2.561501576,NA,"file",4.214285714,1.257780021,39.33,"NOM",3,TRUE
"fille",3.998887653,1.378014779,NA,"fille",5.892857143,1.030615987,417.03,"NOM",3,FALSE
"film",5.707452725,1.895098375,NA,"film",5.392857143,1.448863813,49.53,"NOM",4,TRUE
"fils",5.641824249,1.646762872,NA,"fils",5.178571429,1.123933945,271.42,"NOM",3,FALSE
"filtre",9.098998888,2.445975408,NA,"filtre",4,1.088662108,4.86,"NOM",5,TRUE
"fin",5.212458287,1.439832726,NA,"fin",5.392857143,1.342724861,338.65,"ADJ",2,FALSE
"fiole",10.61785714,2.628097516,NA,"fiole",2.678571429,0.669636243,3.11,"NOM",4,FALSE
"firme",13.10122358,3.151036696,NA,"firme",3.214285714,1.100745298,1.96,"NOM",4,TRUE
"fisc",14.05952381,2.617360257,NA,"fisc",3.035714286,1.035737092,1.28,"NOM",4,FALSE
"fixe",8.402380952,2.211776214,NA,"fixe",4.678571429,1.278122797,40.61,"ADJ",4,FALSE
"flair",9.350389321,2.491275098,NA,"flair",3.357142857,0.9893614,4.8,"NOM",4,FALSE
"flamme",6.206896552,2.265686062,NA,"flamme",3.964285714,1.137969044,38.38,"NOM",4,FALSE
"flan",6.857619577,2.883769934,NA,"flan",3.535714286,0.999338405,2.64,"NOM",3,FALSE
"flanc",9.958843159,3.487304163,NA,"flanc",3.321428571,0.862965234,29.53,"NOM",3,TRUE
"flaque",5.463848721,2.218688947,NA,"flaque",3.785714286,0.875897121,10.07,"NOM",4,TRUE
"flash",8.640711902,2.526845115,NA,"flash",4.071428571,1.11980724,4.59,"NOM",4,FALSE
"flasque",11.72030651,3.180141584,NA,"flasque",3.214285714,1.100745298,6.42,"ADJ",5,FALSE
"flèche",6.213095238,2.341283664,NA,"flèche",3.428571429,0.920087412,15.54,"NOM",4,TRUE
"flemme",10.40357143,2.423306376,NA,"flemme",5.178571429,1.516662306,1.62,"NOM",4,FALSE
"fleur",4.139043382,1.353609273,NA,"fleur",4.821428571,1.306779231,42.97,"NOM",4,FALSE
"fleuve",7.283648498,1.856693789,NA,"fleuve",3.535714286,0.999338405,39.32,"NOM",4,TRUE
"flot",8.920238095,2.699723272,NA,"flot",2.964285714,0.881166855,29.59,"NOM",3,TRUE
"flotte",7.896551724,3.237708854,NA,"flotte",3.75,1.174576362,37.1,"NOM",4,TRUE
"flou",8.320238095,2.645534081,NA,"flou",3.964285714,1.104943198,9.93,"ADJ",3,TRUE
"fluide",11.33716475,2.568279407,NA,"fluide",3.857142857,1.177388375,5.54,"ADJ",5,FALSE
"flûte",6.739285714,2.019730265,NA,"flûte",3.642857143,1.253566341,8.92,"NOM",4,FALSE
"flux",12.43214286,2.454411932,NA,"flux",3.75,1.236033081,6.42,"NOM",3,FALSE
"foi",8.927380952,2.220334447,NA,"foi",3.892857143,1.227441957,76.49,"NOM",3,FALSE
"foie",8.432703003,2.566952924,NA,"foie",3.714285714,1.212806444,15.47,"NOM",3,FALSE
"foin",6.674082314,2.013929984,NA,"foin",3.464285714,0.922241346,16.01,"NOM",3,FALSE
"foire",7.46051168,1.81747787,NA,"foire",3.428571429,0.959497223,14.19,"NOM",4,FALSE
"fois",5.780867631,2.214322878,NA,"fois",4.785714286,1.750283424,1140,"NOM",3,FALSE
"folk",13.14048531,3.039963702,NA,"folk",4.75,1.993043457,2.64,"NOM",4,FALSE
"fond",6.637374861,2.095566236,NA,"fond",3.928571429,1.385869734,381.56,"NOM",2,FALSE
"fondre",7.172413793,2.352303835,NA,"fondre",4.642857143,1.311326321,17.7,"VER",4,FALSE
"fonte",10.60066741,3.12808987,NA,"fonte",3.285714286,0.937180281,8.31,"NOM",3,FALSE
"foot",6.065628476,1.578075594,NA,"foot",3.821428571,1.334820599,5.54,"NOM",3,TRUE
"force",6.492769744,2.268531807,NA,"force",4.857142857,1.380131119,234.73,"ADJ",4,TRUE
"forge",9.599555061,2.319158171,NA,"forge",3.857142857,1.268252975,8.38,"NOM",4,FALSE
"forme",5.998809524,2.385058856,NA,"forme",3.928571429,1.585316219,149.8,"NOM",4,FALSE
"fort",4.856321839,1.683250823,NA,"fort",5.5,1,265.61,"ADJ",3,FALSE
"fosse",9.957142857,1.882771252,NA,"fosse",4.285714286,1.560084111,10.74,"NOM",3,FALSE
"fou",6.244716352,1.850312383,NA,"fou",4.178571429,1.362284884,111.08,"ADJ",2,FALSE
"foudre",7.482142857,1.960823191,NA,"foudre",4.25,1.481365736,12.64,"NOM",4,TRUE
"fouet",7.496106785,1.70640791,NA,"fouet",3.357142857,1.061595086,16.69,"NOM",3,FALSE
"fougue",11.6547619,2.951718767,NA,"fougue",3.392857143,1.13330999,5.07,"NOM",3,FALSE
"fouille",8.210233593,2.454313736,NA,"fouille",3.571428571,1.03381965,13.99,"NOM",3,FALSE
"fouine",8.478571429,2.799014605,NA,"fouine",3.214285714,0.956736074,2.16,"NOM",4,FALSE
"foule",7.529477197,2.259032051,NA,"foule",3.857142857,0.970463261,102.09,"NOM",3,TRUE
"four",5.31701891,1.869391253,NA,"four",4.75,1.109721353,25.07,"NOM",3,TRUE
"fourbe",12.3202381,2.525502112,NA,"fourbe",3.964285714,1.621205378,NA,"ADJ",4,TRUE
"fourche",7.427141268,1.960908282,NA,"fourche",3.464285714,1.201300001,5.61,"NOM",4,FALSE
"frais",7.242491657,3.038463109,NA,"frais",3.928571429,1.561778934,86.22,"ADJ",3,TRUE
"fraise",4.318131257,2.077011915,NA,"fraise",4.535714286,1.426784597,3.99,"NOM",4,TRUE
"franc",8.218020022,3.091785857,NA,"franc",4.178571429,1.218790275,15.68,"ADJ",3,TRUE
"frange",7.136818687,2.738416464,NA,"frange",4,1.305260014,8.18,"NOM",4,FALSE
"frappe",6.741935484,2.755249145,NA,"frappe",4.5,1.232281834,25.14,"NOM",4,TRUE
"fraude",12.07142857,2.171240593,NA,"fraude",4,1.247219129,2.91,"NOM",4,FALSE
"frein",6.994438265,2.437167402,NA,"frein",4.071428571,0.978607152,7.91,"NOM",3,FALSE
"frêle",11.56832695,2.967392579,NA,"frêle",3.571428571,1.168366109,9.8,"ADJ",4,FALSE
"frère",4.385984427,1.681653053,NA,"frère",4.357142857,1.61507449,142.36,"NOM",4,FALSE
"fresque",10.9202381,3.359837161,NA,"fresque",4,1.699673171,3.24,"NOM",5,TRUE
"frise",7.442857143,2.143152689,NA,"frise",3.035714286,0.83808171,4.19,"NOM",4,TRUE
"frite",5.141268076,1.55680953,NA,"frite",3.75,1.004618962,1.08,"ADJ",4,FALSE
"froid",4.315906563,1.881431621,NA,"froid",5.178571429,1.248808956,166.82,"ADJ",4,FALSE
"front",5.066740823,2.448611632,NA,"front",4.75,1.578208079,152.57,"NOM",3,TRUE
"frousse",8.544047619,2.648139664,NA,"frousse",4.071428571,1.303231637,2.16,"NOM",4,FALSE
"fruit",7.057842047,11.21126546,NA,"fruit",4.392857143,1.707050428,21.96,"NOM",4,FALSE
"fugue",10.42157953,1.820433601,NA,"fugue",4.285714286,1.410467295,5.75,"NOM",3,FALSE
"fuir",7.889877642,2.257127302,NA,"fuir",3.785714286,1.315354983,35.88,"VER",4,FALSE
"fuite",7.641824249,1.909230549,NA,"fuite",3.928571429,1.245096201,31.82,"NOM",4,FALSE
"fût",10.69761905,2.582879085,NA,"fût",4.142857143,1.238705588,169.45,"NOM",2,FALSE
"gag",8.815350389,2.799385493,NA,"gag",3.642857143,1.223664373,1.08,"NOM",3,TRUE
"gage",7.783092325,2.877424177,NA,"gage",3.214285714,0.875897121,4.59,"NOM",3,TRUE
"gai",7.846496107,3.053290134,NA,"gai",4,0.942809042,22.64,"ADJ",2,TRUE
"gain",9.780867631,2.388142753,NA,"gain",4.035714286,1.07089934,4.32,"NOM",2,TRUE
"gaine",10.99404762,2.792642221,NA,"gaine",2.928571429,1.152407188,3.11,"NOM",3,FALSE
"gamme",9.253571429,2.85693349,NA,"gamme",3.857142857,1.044005311,5.74,"NOM",3,FALSE
"gang",11.44047619,1.768173289,NA,"gang",3.392857143,1.030615987,3.04,"NOM",3,FALSE
"gant",5.352614016,1.995155423,NA,"gant",3.5,0.881917104,7.97,"NOM",2,TRUE
"garde",6.853170189,2.337630452,NA,"garde",4.5,1.347150628,127.56,"NOM",4,FALSE
"gare",6.588095238,2.161310799,NA,"gare",4.75,1.040833,84.19,"NOM",3,TRUE
"gauche",5.636262514,1.767082524,NA,"gauche",6,1.054092553,221.82,"ADJ",3,TRUE
"gaufre",6.210233593,2.521307051,NA,"gaufre",3.464285714,1.261455446,NA,"NOM",4,TRUE
"gaz",7.713014461,2.586981468,NA,"gaz",4.035714286,1.104943198,28.65,"NOM",3,TRUE
"gel",7.705228031,2.766932232,NA,"gel",4.357142857,1.19301317,6.22,"NOM",3,FALSE
"gendre",10.38709677,2.929273828,NA,"gendre",3.714285714,1.272418021,7.5,"NOM",4,FALSE
"gène",11.35150167,3.166694963,NA,"gène",4.357142857,1.311326321,0.2,"NOM",3,FALSE
"gêne",9.807142857,2.799014605,NA,"gêne",4.285714286,1.410467295,40.95,"NOM",3,FALSE
"genre",8.607341491,2.092485274,NA,"genre",5.357142857,1.41981443,155.2,"NOM",3,FALSE
"gens",5.847608454,2.262361503,NA,"gens",5.785714286,1.474653578,409.39,"NOM",2,FALSE
"gerbe",10.99221357,2.813179428,NA,"gerbe",3.464285714,1.231745009,7.03,"NOM",4,TRUE
