Stimuli	AoA	SD		Stimuli	FreqSub	SD
acte	9.419354839	2.531096919		acte	4.357142857	1.28277147
âge	4.784204672	1.482514574		âge	5.428571429	1.199647214
aide	5.775	1.68461599		aide	5.071428571	1.438326482
aigle	6.457174638	1.982721058		aigle	3.214285714	1.166099635
aigre	10.625	2.374432782		aigre	3.035714286	0.881166855
ail	7.884315907	1.603088417		ail	4.214285714	1.166099635
aile	5.498331479	1.748117267		aile	3.821428571	0.983326607
air	6.03003337	2.061422413		air	4.857142857	1.325373063
aise	10.7753059	2.219173536		aise	3.571428571	1.399168309
algue	7.885714286	2.310396294		algue	2.928571429	0.939998874
ambre	11.5650723	2.551828356		ambre	3.071428571	1.385869734
âme	9.954393771	2.521733488		âme	3.5	1.319371343
ample	9.957142857	2.369344446		ample	3.714285714	1.013141168
an	4.810714286	2.276567289		an	4.928571429	1.438326482
ancre	8.886540601	2.81890698		ancre	3.178571429	1.389206313
âne	4.956618465	1.861321071		âne	3.5	1.201850425
ange	6.461624027	1.94383503		ange	4.107142857	1.39680285
angle	8.391546162	1.906976439		angle	3.892857143	1.100144291
août	5.993325918	1.851474275		août	3.535714286	1.201300001
apte	10.49721913	1.85785169		apte	3.678571429	1.278122797
arbre	3.892102336	1.607107868		arbre	4.714285714	1.181873681
arc	6.996662959	1.921021234		arc	3.392857143	1.13330999
arche	9.276974416	2.938070466		arche	3	0.816496581
arme	7.104560623	2.105292869		arme	4.035714286	1.104943198
art	8.402380952	2.196130348		art	4.214285714	1.286889528
as	7.663095238	2.416656758		as	3.392857143	1.196887498
asthme	10.19911012	2.825003568		asthme	3.142857143	0.890870806
astre	10.2836485	2.472646051		astre	2.75	0.844371342
au	5.569521691	1.690581118		au	6.892857143	0.314970394
aube	9.276974416	2.76265417		aube	3.25	1.109721353
autre	5.850945495	2.181545275		autre	6.357142857	1.223664373
aux	6.319243604	1.590969137		aux	6.607142857	0.831744517
axe	9.958843159	2.10427113		axe	4	1.217161239
bac	10.13809524	3.626847528		bac	4.142857143	1.458418365
bâche	8.692857143	2.647054316		bâche	3.214285714	0.956736074
badge	9.318131257	2.692083176		badge	4.107142857	1.13330999
bague	5.675194661	1.668815819		bague	3.892857143	1.314852075
baie	9.744160178	3.095956433		baie	3.464285714	1.104943198
baigne	6.438095238	2.517981311		baigne	3.821428571	1.123933945
bail	13.20595238	3.883504757		bail	3.857142857	1.325373063
bain	4.174638487	1.672034367		bain	4.714285714	1.356933986
baisse	6.713014461	1.814517324		baisse	4.714285714	1.436486012
bal	7.640711902	2.306139538		bal	3.678571429	0.983326607
balle	4.032258065	1.787651791		balle	4.642857143	1.311326321
banc	5.319243604	1.50483093		banc	4.571428571	1.03381965
bande	7.884315907	2.601901703		bande	4.75	1.205696356
banque	8.344827586	2.921186973		banque	4.678571429	1.188013325
bar	7.561735261	2.597351836		bar	4.821428571	1.467009339
barbe	5.535038932	1.805010946		barbe	3.964285714	1.231745009
barque	7.107142857	2.25908129		barque	3.357142857	1.095928009
barre	6.606229143	2.419010728		barre	4.392857143	1.342724861
bas	5.0378198	1.680373742		bas	5.5	1.170628195
base	8.844047619	2.189053225		base	4.178571429	1.492042384
basque	12.14431673	3.132147		basque	3.285714286	1.696557361
basse	6.479761905	2.344227442		basse	4.892857143	1.314852075
battre	6.288095238	2.164499358		battre	4.321428571	1.218790275
baume	11.07279693	2.456518422		baume	3.964285714	1.373887236
beau	4.497219132	1.96255265		beau	5.214285714	1.548168401
bec	5.35483871	1.792457315		bec	3.464285714	0.881166855
bêche	9.275862069	3.216337605		bêche	2.714285714	0.896790279
beige	6.496106785	1.926610484		beige	3.714285714	1.410467295
bel	7.704115684	2.825764717		bel	3.964285714	1.104943198
berge	10.70411568	2.486955214		berge	3.714285714	1.487158435
bête	4.855394883	1.621097464		bête	4.464285714	1.527092198
beurre	4.822024472	1.392761626		beurre	4.107142857	1.663091403
biais	12.41268076	3.781391904		biais	4.821428571	1.467009339
bible	8.428253615	1.945493828		bible	4.25	1.377732974
biche	5.919911012	2.071828448		biche	3.821428571	1.611384761
bien	4.627380952	1.813423764		bien	4.714285714	1.843047855
bière	9.27919911	2.724638676		bière	4.25	1.294575578
bile	11.65714286	2.774265979		bile	4.392857143	2.00627323
bille	5.710789766	1.229564133		bille	3.928571429	1.358882205
bip	8.58452381	3.952156403		bip	3.678571429	1.540888907
bis	9.179087875	2.625761538		bis	3.5	1.261979632
bise	6.419354839	3.142151855		bise	4.642857143	1.66030532
blague	6.456062291	1.978377743		blague	4.321428571	1.415615857
blâme	11.77641824	2.862061818		blâme	3.892857143	1.499117906
blanc	5.419354839	7.367029135		blanc	5.25	1.205696356
blanche	4.56618465	1.628377384		blanche	4.25	1.377732974
blé	6.529477197	2.317302844		blé	4.357142857	1.311326321
blême	12.35833333	2.51181118		blême	4.178571429	1.44154165
bleu	3.81868743	1.315744198		bleu	4.285714286	1.272418021
bloc	7.529477197	2.563180148		bloc	3.642857143	1.223664373
blond	5.628571429	2.443852245		blond	5.071428571	1.412341671
blues	11.4538376	2.672037602		blues	3.714285714	1.242969648
boeuf	6.458286986	1.716460474		boeuf	4.642857143	1.520581899
boire	3.957730812	1.892259274		boire	4.892857143	1.571488695
bois	5.459399333	1.814517324		bois	4.785714286	1.343217333
boîte	4.711902113	1.539445508		boîte	5.535714286	1.318869967
bol	4.319243604	1.806797202		bol	4.678571429	1.492042384
bombe	7.707452725	2.364613679		bombe	4.357142857	1.161553421
bon	4.320355951	1.553352254		bon	5.392857143	1.474205014
bond	7.312569522	2.279407582		bond	3.857142857	1.078898125
bonne	6.175750834	2.586565789		bonne	5.821428571	1.415615857
borgne	10.34816463	2.426998678		borgne	3.428571429	1.259881577
borne	8.636262514	2.681277179		borne	4.321428571	1.678923187
bosse	6.174638487	2.632305502		bosse	3.821428571	1.248808956
botte	5.42269188	2.435401978		botte	3.821428571	1.123933945
bouc	7.278086763	2.351389431		bouc	3.821428571	1.656716329
bouche	3.854282536	1.542933946		bouche	4.285714286	1.383959506
boucle	6.563959956	2.563180148		boucle	3.642857143	1.471061237
boue	5.77753059	2.447293875		boue	4.535714286	1.598196735
bouée	5.601779755	1.946598909		bouée	3.571428571	1.03381965
boueux	7.42269188	2.542541274		boueux	3.5	0.962250449
bougre	11.64285714	3.393706142		bougre	3.214285714	1.031257516
bouille	7.570634038	2.730551955		bouille	3.035714286	1.104943198
boule	4.892102336	2.156261201		boule	3.607142857	1.100144291
boum	7.383141762	3.165391671		boum	3.571428571	1.069044968
bourg	9.620238095	3.253468529		bourg	3.928571429	1.331347728
