ID,Language_ID,Language_name,Parameter_ID,Parameter_name,WOLD_Meaning_ID,Value,Source,Comment,Word_ID,Borrowed,Borrowed_score,Analyzability,Simplicity_score,age,contact_situation,age_label,borrowed_base,calqued,colonial_word,comment_on_borrowed,comment_on_word_form,effect,etymological_note,gloss,grammatical_info,integration,lexical_stratum,loan_history,numeric_frequency,original_script,other_comments,reference,register,relative_frequency,salience,word_source
46494,sara1340,Saramaccan,965,the world,1-1,goónlíba,,,71312149602169547,5. no evidence for borrowing,0.0,analyzable compound,0.5,Dutch Stratum,None,Dutch Stratum,,,,,,,,goón-liba [ground-top],,,,,,,,,,,,
46495,sara1340,Saramaccan,626,the land,1-21,téla,,,71312149315480646,1. clearly borrowed,1.0,unanalyzable,1.0,Portuguese Stratum,Suriname Portuguese contact,Portuguese Stratum,,,,,,Coexistence,,,,,,,,,,Smith & Cardoso 2004,,,Present in pre-contact environment,
46496,sara1340,Saramaccan,1228,the soil,1-212,goón,,,71312149770944471,5. no evidence for borrowing,0.0,unanalyzable,1.0,Early English Stratum,None,Early English Stratum,,,,,< English “ground”,,,,,,,,,,,,,,,
46497,sara1340,Saramaccan,2,the dust,1-213,gudugúdu,,,71312149532175057,4. very little evidence for borrowing,0.25,unanalyzable,1.0,Unknown African,None,Unknown African,,,,,"This word looks formally reduplicated, but there is no obvious reduplicative base.",,,,,,,,,,"This word has no obvious English source and may, therefore, be a borrowing. Its form indicates a possible African source.",,,,,
46498,sara1340,Saramaccan,2,the dust,1-213,súndju,,,71312149473478979,1. clearly borrowed,1.0,unanalyzable,1.0,Portuguese Stratum,Suriname Portuguese contact,Portuguese Stratum,,,,,,No information,,,,,,,,,,Smith & Cardoso 2004,,,Present in pre-contact environment,
46499,sara1340,Saramaccan,640,the mud,1-214,pötöpötö,,,7131214994826526,1. clearly borrowed,1.0,unanalyzable,1.0,Bantu Stratum,Loango Bantu contact,Bantu Stratum,,,,"Words meaning 'the mud' with comparable forms are found in other languages along the west coast of Africa (see McWhorter 2000:124). The status of this as an Africanism, therefore, seems secure, but it may ultimately have another source language.","This word looks formally reduplicated, but there is no obvious reduplicative base.",Replacement,,,,,,,,,"The ‘(L)‘ indicates the words tone class, in this case it indicates that in the reference frame, the word has all low tones. The form is given this way in the reference, and has not been altered here.","Daeleman 1972, word #128",,,Present in pre-contact environment,
46500,sara1340,Saramaccan,671,the sand,1-215,sándu,,,71312149242827263,5. no evidence for borrowing,0.0,unanalyzable,1.0,Early English Stratum,None,Early English Stratum,,,,,< English “sand”,,,,,,,,,,,,,,,
46501,sara1340,Saramaccan,2118,the mountain or hill,1-22,kúnunu,,,71312149559762832,4. very little evidence for borrowing,0.25,unanalyzable,1.0,Unknown,None,Unknown,,,,,The second vowel may be high tone. A variant form is kúun.,,,,,,,,,,"This word has no obvious English source and may, therefore, be a borrowing.",,,,,
46502,sara1340,Saramaccan,618,the cliff or precipice,1-222,benga,,,7131214997320565,5. no evidence for borrowing,0.0,unanalyzable,1.0,Early English Stratum,None,Early English Stratum,,,,"If the form of the word is really bénga with initial high tone, then the word would seem to have regular sound correspondance for other English borrowings (e.g., síngi ‘sink’).",< English “bank”? Perhaps  the tone is transcribed incorrectly.,,,,,,,,,,,,,,,
46503,sara1340,Saramaccan,921,the valley,1-24,básúkúnunu,,,71312149874862257,5. no evidence for borrowing,0.0,analyzable compound,0.5,Post Suriname Portuguese Contact,None,Post Suriname Portuguese Contact,,,,,Transcription is normalized from de Groot 1977.,,,básu-kúnunu [base-mountain],,,,,,,,,,,,
46504,sara1340,Saramaccan,622,the island,1-25,djégi,,,71312149741419941,4. very little evidence for borrowing,0.25,unanalyzable,1.0,Unknown,None,Unknown,,,,,,,,,,,,,,,"This word has no obvious English source and may, therefore, be a borrowing.",,,,,
46505,sara1340,Saramaccan,622,the island,1-25,paatí,,,71312149569738704,1. clearly borrowed,1.0,unanalyzable,1.0,Portuguese Stratum,Suriname Portuguese contact,Portuguese Stratum,,,,,,Replacement,,,,,,,,,,Smith & Cardoso 2004,,,Present in pre-contact environment,
46506,sara1340,Saramaccan,113,the shore,1-27,télábúka,,,7131214916550504,3. perhaps borrowed,0.5,analyzable compound,0.5,Post Suriname Portuguese Contact,Suriname Portuguese contact,Post Suriname Portuguese Contact,,,,"Given that this compound is formed from two Portuguese elements, it seems possible it could have been borrowed whole into Saramaccan.",téla < Portuguese terra. The transcription is normalized from Rountree et al. 2000.,No information,,téla-búka [land-mouth],,,,,,,"Given that this compound is formed from two Portuguese elements, it seems possible it could have been borrowed whole into Saramaccan. However, I will not try to identify what the precise form and meaning of the borrowed compound may have been.",,,,Present in pre-contact environment,
46507,sara1340,Saramaccan,1155,the cave,1-28,sitónúbaáku,,,71312149861639599,5. no evidence for borrowing,0.0,analyzable compound,0.5,Post Suriname Portuguese Contact,None,Post Suriname Portuguese Contact,,,,,Transcription is normalized from de Groot 1977.,,,sitónú-baáku [stone-hole],,,,,,,,,,,,
46508,sara1340,Saramaccan,948,the water,1-31,wáta,,,71312149717165207,5. no evidence for borrowing,0.0,unanalyzable,1.0,Early English Stratum,None,Early English Stratum,,,,,< English “water”,,,,,,,,,,,,,,,
46509,sara1340,Saramaccan,1474,the sea,1-32,zé,,,71312149118697114,1. clearly borrowed,1.0,unanalyzable,1.0,Dutch Stratum,Dutch contact,Dutch Stratum,,,,Smith gives a form for this word as dzé and suggests a relationship to Fon element džɛ̀ meaning ‘salt’.,,Replacement,,,,,,,,,"Sranan appears to have se for “sea”, making this a good candidate for a direct borrowing from Dutch.",,,,Present in pre-contact environment,
46510,sara1340,Saramaccan,258,calm,1-322,sáápi,,,71312149207177706,5. no evidence for borrowing,0.0,unanalyzable,1.0,Early English Stratum,None,Early English Stratum,,,,,< English “softly” (See Smith 1987b:181.),,,,,,,,,,,,,,,
46511,sara1340,Saramaccan,259,rough(2),1-323,séki,,,71312149253562445,5. no evidence for borrowing,0.0,unanalyzable,1.0,Early English Stratum,None,Early English Stratum,,,,,< English “shake”,,,,,,,,,,,,,,,
46512,sara1340,Saramaccan,1768,the foam,1-324,pululú,,,71312149694390688,1. clearly borrowed,1.0,unanalyzable,1.0,Bantu Stratum,Loango Bantu contact,Bantu Stratum,,,,See Smith & Cardoso 2004 for possible Portuguese etymology.,"Final tone looks like Portuguese verbal borrowing, but final vowel looks like Yaka borrowing. Yaka has better semantic fit.",No information,,,,,,,,,,"Daeleman 1972, word #109",,,Present in pre-contact environment,
46513,sara1340,Saramaccan,1768,the foam,1-324,sukúma,,,71312149161406352,2. probably borrowed,0.75,unanalyzable,1.0,Portuguese Stratum,Suriname Portuguese contact,Portuguese Stratum,,,,"English ‘scum’ also a possible etymology for this word, as is Sranan skuma. An English origin seems less likely for formal reasons.",,No information,,,,,,,,,,Smith & Cardoso 2004,,,Present in pre-contact environment,
46514,sara1340,Saramaccan,645,the ocean,1-329,zé,,,71312149118697114,1. clearly borrowed,1.0,unanalyzable,1.0,Dutch Stratum,Dutch contact,Dutch Stratum,,,,Smith gives a form for this word as dzé and suggests a relationship to Fon element džɛ̀ meaning ‘salt’.,,Replacement,,,,,,,,,"Sranan appears to have se for “sea”, making this a good candidate for a direct borrowing from Dutch.",,,,Present in pre-contact environment,
