ID,Language_ID,Language_name,Parameter_ID,Parameter_name,WOLD_Meaning_ID,Value,Source,Comment,Word_ID,Borrowed,Borrowed_score,Analyzability,Simplicity_score,age,contact_situation,age_label,borrowed_base,calqued,colonial_word,comment_on_borrowed,comment_on_word_form,effect,etymological_note,gloss,grammatical_info,integration,lexical_stratum,loan_history,numeric_frequency,original_script,other_comments,reference,register,relative_frequency,salience,word_source
1254,tari1263,Tarifiyt Berber,965,the world,1-1,ddənya,,,7212058305706511,1. clearly borrowed,1.0,unanalyzable,1.0,Islamic period,Widespread Moroccan Arabic bilingualism,Islamic period,,,,,,Insertion,,,noun,2. Intermediate,,,,,,,,,No information,
1255,tari1263,Tarifiyt Berber,626,the land,1-21,ŧammua’ŧ,,,7212058923850418,5. no evidence for borrowing,0.0,unanalyzable,1.0,Common Berber,None,Common Berber,,,,,,,,,noun,,,,,,,,,,,
1256,tari1263,Tarifiyt Berber,1228,the soil,1-212,šař,,,7212058455918984,5. no evidence for borrowing,0.0,unanalyzable,1.0,Common Berber,None,Common Berber,,,,,,,,,noun,,,,,,,,,,,
1257,tari1263,Tarifiyt Berber,2,the dust,1-213,ŧaʕəžžašŧ,,,7212058860784276,1. clearly borrowed,1.0,unanalyzable,1.0,Islamic period,Widespread Moroccan Arabic bilingualism,Islamic period,,,,,,No information,,,noun,1. Highly integrated,,,,,,,,,Present in pre-contact environment,
1258,tari1263,Tarifiyt Berber,2,the dust,1-213,ŧaɣəbbā’ŧ,,,7212059695009536,1. clearly borrowed,1.0,unanalyzable,1.0,Islamic period,Widespread Moroccan Arabic bilingualism,Islamic period,,,,,,Replacement,,,noun,1. Highly integrated,,,,,,,,,Present in pre-contact environment,
1259,tari1263,Tarifiyt Berber,640,the mud,1-214,aƀəǧǧaʕ,,,7212058550487808,4. very little evidence for borrowing,0.25,unanalyzable,1.0,Islamic period,None,Islamic period,,,,,,,,,noun,1. Highly integrated,,,,,The presence of Arabic loan phoneme (s) suggests a loan. No source could be identified.,,,,,
1260,tari1263,Tarifiyt Berber,671,the sand,1-215,ižđi,,,7212058354792967,5. no evidence for borrowing,0.0,unanalyzable,1.0,Common Berber,None,Common Berber,,,,,,,,,noun,,,,,,,,,,,
1261,tari1263,Tarifiyt Berber,2118,the mountain or hill,1-22,ađrā,,,7212058625749046,5. no evidence for borrowing,0.0,unanalyzable,1.0,Common Berber,None,Common Berber,,,,,,,,,noun,,,,,,,,,,,
1262,tari1263,Tarifiyt Berber,2118,the mountain or hill,1-22,ađmā,,,7212059811957930,5. no evidence for borrowing,0.0,unanalyzable,1.0,No information,None,No information,,,,,,,,,noun,,,,,,,,,,,
1263,tari1263,Tarifiyt Berber,618,the cliff or precipice,1-222,žžā’f,,,7212059665782615,1. clearly borrowed,1.0,unanalyzable,1.0,Islamic period,Widespread Moroccan Arabic bilingualism,Islamic period,,,,,,Coexistence,,,noun,2. Intermediate,,,,,,,,,Present in pre-contact environment,
