ID,Language_ID,Language_name,Parameter_ID,Parameter_name,WOLD_Meaning_ID,Value,Source,Comment,Word_ID,Borrowed,Borrowed_score,Analyzability,Simplicity_score,age,contact_situation,age_label,borrowed_base,calqued,colonial_word,comment_on_borrowed,comment_on_word_form,effect,etymological_note,gloss,grammatical_info,integration,lexical_stratum,loan_history,numeric_frequency,original_script,other_comments,reference,register,relative_frequency,salience,word_source
42643,roma1327,Romanian,965,the world,1-1,lume,,,74318329569365,5. no evidence for borrowing,0.0,unanalyzable,1.0,Pre 100 CE,None,Pre 100 CE,,,,Use of a noun meaning ‘light’ to mean ‘world’ modeled on Slavic.,Latin lumen,,,,,,,,,,,,,,,
42644,roma1327,Romanian,626,the land,1-21,ţară,,,74318337436041,5. no evidence for borrowing,0.0,unanalyzable,1.0,Pre 100 CE,None,Pre 100 CE,,,,,Latin terra,,,,,,,,,,,,,,,
42645,roma1327,Romanian,1228,the soil,1-212,pământ,,,74318542187409,5. no evidence for borrowing,0.0,unanalyzable,1.0,Pre 100 CE,None,Pre 100 CE,,,,,Latin pavimentum,,,,,,,,,,,,,,,
42646,roma1327,Romanian,1228,the soil,1-212,sol,,,74318231369449,1. clearly borrowed,1.0,unanalyzable,1.0,19th century,"French, Italian and Latin as cultural models",19th century,,,,,,Coexistence,,,,,,,,,,Coteanu et al. 1998: 1000,,,Present in pre-contact environment,
42647,roma1327,Romanian,2,the dust,1-213,praf,,,74318986974099,1. clearly borrowed,1.0,unanalyzable,1.0,6th-13th century,Cohabitation with Albanian and South Slavic speakers,6th-13th century,,,,"Cf. Bulgarian, Serbian prah.",,Replacement,,,,,,,,,,Coteanu et al. 1998: 833-834,,,Present in pre-contact environment,
42648,roma1327,Romanian,2,the dust,1-213,pulbere,,,74318550622094,5. no evidence for borrowing,0.0,unanalyzable,1.0,Pre 100 CE,None,Pre 100 CE,,,,,,,,,,,,,,,,,,,,
42649,roma1327,Romanian,640,the mud,1-214,noroi,,,74318491816390,1. clearly borrowed,1.0,unanalyzable,1.0,11th-18th century,Cohabitation with Albanian and South Slavic speakers,11th-18th century,,,,,,Coexistence,,,,,,,,,,Coteanu et al. 1998: 699,,,Present in pre-contact environment,
42650,roma1327,Romanian,640,the mud,1-214,mâl,,,74318408628447,3. perhaps borrowed,0.5,unanalyzable,1.0,11th-16th century,Cohabitation and trade with Polish and East Slavic speakers,11th-16th century,,,,The word mul is also found in Polish and Slovak.,,Coexistence,,,,,,,,,,Coteanu et al. 1998: 612,,,Present in pre-contact environment,
42651,roma1327,Romanian,640,the mud,1-214,nǎmol,,,74318783472719,1. clearly borrowed,1.0,unanalyzable,1.0,11th-16th century,Cohabitation and trade with Polish and East Slavic speakers,11th-16th century,,,,"Cf. Ukrainean, Polish namul",,Coexistence,,,,,,,,,,Coteanu et al. 1998: 672,,,Present in pre-contact environment,
42652,roma1327,Romanian,640,the mud,1-214,mocirlă,,,82152223903501153,1. clearly borrowed,1.0,unanalyzable,1.0,11th-18th century,Cohabitation with Albanian and South Slavic speakers,11th-18th century,,,,,,Coexistence,,,,,,,,,,Coteanu et al. 1998: 644,,,Present in pre-contact environment,
