name|name|relation|certain|name|name
adorare|Latin|immediate|t|aanbidden|Dutch
Adler|High German|immediate|t|adelaar|Dutch
adresse|French|immediate|t|adres|Dutch
alligator|English|immediate|t|alligator|Dutch
altāre|Latin|immediate|t|altaar|Dutch
ancora|Latin|immediate|t|anker|Dutch
Artz|High German|immediate|t|arts|Dutch
auto(mobile)|English|immediate|t|auto|Dutch
baie|French|immediate|t|baai|Dutch
Latijn matrix|Latin|immediate|t|baarmoeder|Dutch
baby|English|immediate|t|baby|Dutch
bambu|Indonesian|immediate|t|bamboe|Dutch
banana|Portuguese|immediate|t|banaan|Dutch
banco|Italian|immediate|t|bank|Dutch
banyan|English|immediate|t|banyan|Dutch
batata|Portuguese|immediate|f|bataat|Dutch
batata|Spanish|immediate|f|bataat|Dutch
batterie|French|immediate|t|batterij|Dutch
Bediente(r)|High German|immediate|t|bediende|Dutch
beste|French|immediate|t|beest|Dutch
begreifen|High German|immediate|t|begrijpen|Dutch
bec|French|immediate|t|bek|Dutch
biber|Latin|immediate|t|bier|Dutch
boomerang|English|immediate|t|boemerang|Dutch
bocer|French (Picard)|immediate|t|boetseren|Dutch
*bukko-|Celtic|immediate|t|bok|Dutch
bombe|French|immediate|t|bom|Dutch
punctus|Latin|immediate|t|bont|Dutch
boat|English|immediate|t|boot|Dutch
butyrum|Latin|immediate|t|boter|Dutch
brevis|Latin|immediate|t|brief|Dutch
beryllus|Latin|immediate|t|bril|Dutch
Brunne|High German|immediate|t|bron|Dutch
buffle|French|immediate|t|buffel|Dutch
Bürger|High German|immediate|t|burger|Dutch
bus|English|immediate|t|bus|Dutch
cassave|French|immediate|t|cassave|Dutch
ceinture|French|immediate|t|ceintuur|Dutch
circulus|Latin|immediate|t|cirkel|Dutch
coyote|Spanish|immediate|t|coyote|Dutch
danser|French|immediate|t|dansen|Dutch
daemōn|Latin|immediate|t|demon|Dutch
dictator|Latin|immediate|t|dichter|Dutch
dîner|French|immediate|t|diner|Dutch
diês Martis|Latin|immediate|t|dinsdag|Dutch
direct|French|immediate|t|direct|Dutch
doctor|Latin|immediate|t|dokter|Dutch
dalfin, dauphin|French|immediate|t|dolfijn|Dutch
dies Iovis|Latin|immediate|t|donderdag|Dutch
milipeda|Latin|immediate|t|duizendpoot|Dutch
durer|French|immediate|t|duren|Dutch
*oit|Celtic|immediate|t|eed|Dutch
eiland|Old Frisian|immediate|t|eiland|Dutch
elen|High German|immediate|t|eland|Dutch
electricity|French|immediate|t|elektriciteit|Dutch
Elf(e)|High German|immediate|t|elf (2)|Dutch
asinus|Latin|immediate|t|ezel|Dutch
famille|French|immediate|t|familie|Dutch
fée|French|immediate|t|fee|Dutch
film|English|immediate|t|film|Dutch
flûte|French|immediate|t|fluit|Dutch
faute|French|immediate|t|fout|Dutch
fruit|French|immediate|t|fruit|Dutch
geheim|High German|immediate|t|geheim|Dutch
Gefahr|High German|immediate|t|gevaar|Dutch
Gift|High German|immediate|t|gif|Dutch
grānum|Latin|immediate|t|graan|Dutch
grenize|Low German|immediate|t|grens|Dutch
grand-mère|French|immediate|t|grootmoeder|Dutch
grand-parents|French|immediate|t|grootouders|Dutch
grand-père|French|immediate|t|grootvader|Dutch
grotte|French|immediate|t|grot|Dutch
golos|French|immediate|t|gulzig|Dutch
hár|Old Norse|immediate|t|haai|Dutch
hamaca|Spanish|immediate|t|hangmat|Dutch
harnasc|French|immediate|t|harnas|Dutch
herrschen|High German|immediate|t|heersen|Dutch
Hexe|High German|immediate|t|heks|Dutch
Hinterhalt|High German|immediate|t|hinderlaag|Dutch
Hütte|High German|immediate|t|hut|Dutch
idée|French|immediate|t|idee|Dutch
*īsarno-|Celtic|immediate|t|ijzer|Dutch
imiter|French|immediate|t|imiteren|Dutch
injection|French|immediate|t|injectie|Dutch
insecte|French|immediate|t|insect|Dutch
jaguar|English|immediate|t|jaguar|Dutch
jalousie|French|immediate|t|jaloezie|Dutch
jas|Low German|immediate|t|jas|Dutch
juste|French|immediate|t|juist|Dutch
journée|French|immediate|t|jurk|Dutch
joël|French|immediate|t|juweel|Dutch
cap|French|immediate|t|kaap|Dutch
kerza|High German|immediate|t|kaars|Dutch
cāseus|Latin|immediate|t|kaas|Dutch
Kachelofen|High German|immediate|t|kachel|Dutch
cadavre|French|immediate|t|kadaver|Dutch
cacalacca|Portuguese|immediate|t|kakkerlak|Dutch
calebasse|French|immediate|t|kalebas|Dutch
Kalender|High German|immediate|t|kalender|Dutch
calme|French|immediate|t|kalm|Dutch
camēlus|Latin|immediate|t|kameel|Dutch
