ID,Language_ID,Language_name,Parameter_ID,Parameter_name,WOLD_Meaning_ID,Value,Source,Comment,Word_ID,Borrowed,Borrowed_score,Analyzability,Simplicity_score,age,contact_situation,age_label,borrowed_base,calqued,colonial_word,comment_on_borrowed,comment_on_word_form,effect,etymological_note,gloss,grammatical_info,integration,lexical_stratum,loan_history,numeric_frequency,original_script,other_comments,reference,register,relative_frequency,salience,word_source
24782,kett1243,Ket,626,the land,1-21,baˀŋ,,,72262144402170603,5. no evidence for borrowing,0.0,unanalyzable,1.0,from proto-language,None,from proto-language,,,,,,,,,,,,,,,,,,,,
24783,kett1243,Ket,1228,the soil,1-212,baˀŋ,,,72262144402170603,5. no evidence for borrowing,0.0,unanalyzable,1.0,from proto-language,None,from proto-language,,,,,,,,,,,,,,,,,,,,
24784,kett1243,Ket,2,the dust,1-213,huˀs,,,811111712910517749,5. no evidence for borrowing,0.0,unanalyzable,1.0,mid-20th century,None,mid-20th century,,,,,,,,,,,,,,,,,,,,
24785,kett1243,Ket,640,the mud,1-214,altəq,,,72262144327437556,5. no evidence for borrowing,0.0,semi-analyzable,0.75,mid-20th century,None,mid-20th century,,,,,,,,al-təq [?-clay],,,,,,,,,,,,
24786,kett1243,Ket,640,the mud,1-214,sīn,,,72262144537294378,5. no evidence for borrowing,0.0,unanalyzable,1.0,from proto-language,None,from proto-language,,,,,,,,,,,,,,,,,,,,
24787,kett1243,Ket,671,the sand,1-215,hənaŋ,,,72262144634965875,5. no evidence for borrowing,0.0,analyzable derived,0.5,from proto-language,None,from proto-language,,,,,,,,hən-aŋ [hump/pile-COLLECTIVE],,,,,,,,,,,,
24788,kett1243,Ket,2118,the mountain or hill,1-22,qaˀj,,,72262144364177708,5. no evidence for borrowing,0.0,unanalyzable,1.0,from proto-language,None,from proto-language,,,,,,,,,,,,,,,,,,,,
24789,kett1243,Ket,618,the cliff or precipice,1-222,tɯ̄,,,72262144319933187,5. no evidence for borrowing,0.0,unanalyzable,1.0,from proto-language,None,from proto-language,,,,,,,,,,,,,,,,,,,,
24790,kett1243,Ket,652,the plain,1-23,embaŋ,,,72262144471304562,5. no evidence for borrowing,0.0,analyzable compound,0.5,from proto-language,None,from proto-language,,,,,,,,ēm-baˀŋ [even-land],,,,,,,,,,,,
24791,kett1243,Ket,622,the island,1-25,ēj (1),,,72262144710608099,5. no evidence for borrowing,0.0,unanalyzable,1.0,from proto-language,None,from proto-language,,,,,,,,,,,,,,,,,,,,
24792,kett1243,Ket,166,the mainland,1-26,baˀŋ,,,72262144402170603,5. no evidence for borrowing,0.0,unanalyzable,1.0,from proto-language,None,from proto-language,,,,,,,,,,,,,,,,,,,,
24793,kett1243,Ket,113,the shore,1-27,sest baˀŋ,,,72262144925413934,5. no evidence for borrowing,0.0,analyzable phrasal,0.5,mid-20th century,None,mid-20th century,,,,,,,,sēs-d-baˀŋ [river-POSS-land],,,,,,,,,,,,
24794,kett1243,Ket,113,the shore,1-27,ulbaŋt,,,87161956782246045,5. no evidence for borrowing,0.0,semi-analyzable,0.75,mid-20th century,None,mid-20th century,,,,,,,,ūl-baˀŋ-t [water-land-NMLZ?],,,,,,,,,,,,
24795,kett1243,Ket,1155,the cave,1-28,ogə,,,72262144325661010,5. no evidence for borrowing,0.0,unanalyzable,1.0,mid-20th century,None,mid-20th century,,,,,form only recorded in Donner 1955,,,,,,,,,,,,,,,
24796,kett1243,Ket,948,the water,1-31,ūl,,,72262144973821016,5. no evidence for borrowing,0.0,unanalyzable,1.0,from proto-language,None,from proto-language,,,,,,,,,,,,,,,,,,,,
24797,kett1243,Ket,1474,the sea,1-32,mora,,,72262144346986315,1. clearly borrowed,1.0,unanalyzable,1.0,recent Russian loan,Russian superstrate,recent Russian loan,,,,,,Insertion,,,,,,,,,,,,,Present only since contact,
24798,kett1243,Ket,258,calm,1-322,ə̄n (1),,,72262144201867452,5. no evidence for borrowing,0.0,unanalyzable,1.0,from proto-language,None,from proto-language,,,,,,,,,,,,,,,,,,,,
24799,kett1243,Ket,259,rough(2),1-323,qaˀ bēj,,,72262144331357530,5. no evidence for borrowing,0.0,analyzable phrasal,0.5,mid-20th century,None,mid-20th century,,,,,used attributively,,,qaˀ bēj [big wind],,,,,,,,,,,,
24800,kett1243,Ket,1768,the foam,1-324,qool,,,72262144523710857,5. no evidence for borrowing,0.0,semi-analyzable,0.75,mid-20th century,None,mid-20th century,,,,,,,,possibly a compound with second component ūl  ‘water’,,,,,,,,,,,,
24801,kett1243,Ket,645,the ocean,1-329,mora,,,72262144346986315,1. clearly borrowed,1.0,unanalyzable,1.0,recent Russian loan,Russian superstrate,recent Russian loan,,,,,,Insertion,,,,,,,,,,,,,Present only since contact,
24802,kett1243,Ket,624,the lake,1-33,deˀ,,,72262144178858211,5. no evidence for borrowing,0.0,unanalyzable,1.0,from proto-language,None,from proto-language,,,,,,,,,,,,,,,,,,,,
24803,kett1243,Ket,663,the bay,1-34,qoˀl,,,72262144565894999,5. no evidence for borrowing,0.0,unanalyzable,1.0,mid-20th century,None,mid-20th century,,,,,not in the culture,,,,,,,,,,,,,,,
24804,kett1243,Ket,663,the bay,1-34,tugd,,,811101411897349243,5. no evidence for borrowing,0.0,semi-analyzable,0.75,mid-20th century,None,mid-20th century,,,,,,,,tu-gd [water?-?],,,,,,,,,,,,
24805,kett1243,Ket,1662,the cape,1-343,solgup,,,72262144325347984,5. no evidence for borrowing,0.0,analyzable compound,0.5,mid-20th century,None,mid-20th century,,,,,,,,saˀl-kūb [sharp-point],,,,,,,,,,,,
24806,kett1243,Ket,978,the wave,1-35,anbok,,,72262144967139749,5. no evidence for borrowing,0.0,unanalyzable,1.0,mid-20th century,None,mid-20th century,,,,The first element /an/ is only found in this compound.,,,,,,,,,,,,,,,,
24807,kett1243,Ket,666,the river or stream,1-36,sēs,,,72262144707604606,5. no evidence for borrowing,0.0,unanalyzable,1.0,from proto-language,None,from proto-language,,,,,,,,,,,,,,,,,,,,
24808,kett1243,Ket,666,the river or stream,1-36,qōks,,,72262144559296274,5. no evidence for borrowing,0.0,semi-analyzable,0.75,mid-20th century,None,mid-20th century,,,,,,,,qōk-s [?-NMLZ?],,,,,,,,,,,,
24809,kett1243,Ket,1982,the whirlpool,1-362,ɯsul,,,72262144433837363,5. no evidence for borrowing,0.0,analyzable compound,0.5,from proto-language,None,from proto-language,,,,,,,,ɯs-ūl [twist-water],,,,,,,,,General,,,
24810,kett1243,Ket,1982,the whirlpool,1-362,uldʌptaŋbaŋ,,,811111714482495035,5. no evidence for borrowing,0.0,analyzable phrasal,0.5,mid-20th century,None,mid-20th century,,,,,,,,ul-də-b-taŋ-baŋ [water-3N-3N-turn-place],,,,,,,,,,,,
24811,kett1243,Ket,1982,the whirlpool,1-362,telɣil,,,811111717490748362,5. no evidence for borrowing,0.0,semi-analyzable,0.75,mid-20th century,None,mid-20th century,,,,,,,,tel-kil [mammoth?-spin],,,,,,,,,,,,
24812,kett1243,Ket,2144,the spring or well,1-37,qōks,,,72262144559296274,5. no evidence for borrowing,0.0,semi-analyzable,0.75,mid-20th century,None,mid-20th century,,,,,,,,qōk-s [?-NMLZ?],,,,,,,,,,,,
24813,kett1243,Ket,1145,the swamp,1-38,deŋniŋ,,,72262144872871939,5. no evidence for borrowing,0.0,analyzable derived,0.5,mid-20th century,None,mid-20th century,,,,,,,,deˀ-iŋ [pond-PL],,,,,,,,,,,,
24814,kett1243,Ket,1145,the swamp,1-38,deˀ,,,72262144178858211,5. no evidence for borrowing,0.0,unanalyzable,1.0,from proto-language,None,from proto-language,,,,,,,,,,,,,,,,,,,,
24815,kett1243,Ket,1145,the swamp,1-38,ulteɣin,,,811112040169697680,5. no evidence for borrowing,0.0,analyzable compound,0.5,mid-20th century,None,mid-20th century,,,,,,,,ul-de-in [water-lake-PL],,,,,,,,,,,,
24816,kett1243,Ket,1145,the swamp,1-38,daŋtaɣan,,,81114122130797788,5. no evidence for borrowing,0.0,semi-analyzable,0.75,mid-20th century,None,mid-20th century,,,,,,,,? deˀ-iŋ-taɣan [pond-PL-?],,,,,,,,,,,,
24817,kett1243,Ket,943,the waterfall,1-39,qaʁɯn,,,72262144541555853,5. no evidence for borrowing,0.0,analyzable compound,0.5,mid-20th century,None,mid-20th century,,,,,,,,qaˀ-qɯ̄n [big-current],,,,,,,,,,,,
24818,kett1243,Ket,420,the woods or forest,1-41,hɯssej,,,72262144869830677,5. no evidence for borrowing,0.0,unanalyzable,1.0,mid-20th century,None,mid-20th century,,,,,,,,,,,,,,,,,,,,
24819,kett1243,Ket,420,the woods or forest,1-41,areŋ,,,8716207972002313,5. no evidence for borrowing,0.0,semi-analyzable,0.75,mid-20th century,None,mid-20th century,,,,,,,,-eŋ is possibly a collective suffix,,,,,,,,,,,,
24820,kett1243,Ket,420,the woods or forest,1-41,les,,,8716208217292364,1. clearly borrowed,1.0,unanalyzable,1.0,recent Russian loan,Russian superstrate,recent Russian loan,,,,,,Coexistence,,,,,,,,,,,,,Present in pre-contact environment,
24821,kett1243,Ket,1803,the wood,1-43,ōks,,,72262144686145428,5. no evidence for borrowing,0.0,unanalyzable,1.0,mid-20th century,None,mid-20th century,,,,,,,,,,,,,,,,,,,,
24822,kett1243,Ket,2125,the stone or rock,1-44,təˀs,,,72262144404732739,5. no evidence for borrowing,0.0,unanalyzable,1.0,from proto-language,None,from proto-language,,,,,,,,,,,,,,,,,,,,
